,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,special_event,special_event_lower,special_event_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2020-01-01,105.530208,73.50205972611106,123.4667375452822,105.530208,105.530208,0.0,0.0,0.0,-0.0684817164636896,-0.0684817164636896,-0.0684817164636896,0.0,0.0,0.0,0.002688610393316672,0.002688610393316672,0.002688610393316672,-0.07117032685700626,-0.07117032685700626,-0.07117032685700626,0.0,0.0,0.0,98.30331821738982
1,2020-01-02,105.51757926356164,75.50472600114591,122.39715639349929,105.51757926356164,105.51757926356164,0.0,0.0,0.0,-0.0704236821938549,-0.0704236821938549,-0.0704236821938549,0.0,0.0,0.0,-0.0005462300001383182,-0.0005462300001383182,-0.0005462300001383182,-0.06987745219371659,-0.06987745219371659,-0.06987745219371659,0.0,0.0,0.0,98.08664279563969
2,2020-01-03,105.50495052712328,78.10446142403198,130.4736646409067,105.50495052712328,105.50495052712328,0.0,0.0,0.0,-0.015894859598405274,-0.015894859598405274,-0.015894859598405274,0.0,0.0,0.0,0.05233585662978779,0.05233585662978779,0.05233585662978779,-0.06823071622819306,-0.06823071622819306,-0.06823071622819306,0.0,0.0,0.0,103.82796415155796
3,2020-01-04,105.49232179068494,63.80295327378011,115.75882883405329,105.49232179068494,105.49232179068494,0.0,0.0,0.0,-0.14691916087376186,-0.14691916087376186,-0.14691916087376186,0.0,0.0,0.0,-0.08067385809979889,-0.08067385809979889,-0.08067385809979889,-0.06624530277396297,-0.06624530277396297,-0.06624530277396297,0.0,0.0,0.0,89.99347839457265
4,2020-01-05,105.47969305424658,57.94061310180134,110.62716668869943,105.47969305424658,105.47969305424658,0.0,0.0,0.0,-0.20486413838795248,-0.20486413838795248,-0.20486413838795248,0.0,0.0,0.0,-0.14091917784348376,-0.14091917784348376,-0.14091917784348376,-0.06394496054446872,-0.06394496054446872,-0.06394496054446872,0.0,0.0,0.0,83.87068661926266
5,2020-01-06,105.46706431780822,85.68626776661554,134.6968631842366,105.46706431780822,105.46706431780822,0.0,0.0,0.0,0.05123066598120511,0.05123066598120511,0.05123066598120511,0.0,0.0,0.0,0.11259189314838984,0.11259189314838984,0.11259189314838984,-0.061361227167184715,-0.061361227167184715,-0.061361227167184715,0.0,0.0,0.0,110.87021226189214
6,2020-01-07,105.45443558136986,81.03573372466685,130.28922182751157,105.45443558136986,105.45443558136986,0.0,0.0,0.0,-0.004009543839026417,-0.004009543839026417,-0.004009543839026417,0.0,0.0,0.0,0.05452290577221739,0.05452290577221739,0.05452290577221739,-0.058532449611243806,-0.058532449611243806,-0.058532449611243806,0.0,0.0,0.0,105.03161139888658
7,2020-01-08,105.4418068449315,75.96535709027957,124.0881469310782,105.4418068449315,105.4418068449315,0.0,0.0,0.0,-0.05281402177894966,-0.05281402177894966,-0.05281402177894966,0.0,0.0,0.0,0.0026886103934057916,0.0026886103934057916,0.0026886103934057916,-0.055502632172355446,-0.055502632172355446,-0.055502632172355446,0.0,0.0,0.0,99.87300096181148
8,2020-01-09,105.42917810849316,71.90617652974042,125.07838564501472,105.42917810849316,105.42917810849316,0.0,0.0,0.0,-0.05286637758481412,-0.05286637758481412,-0.05286637758481412,0.0,0.0,0.0,-0.0005462300000046577,-0.0005462300000046577,-0.0005462300000046577,-0.052320147584809476,-0.052320147584809476,-0.052320147584809476,0.0,0.0,0.0,99.85551937015293
9,2020-01-10,105.4165493720548,81.61450121045725,129.3195918340101,105.4165493720548,105.4165493720548,0.0,0.0,0.0,0.0032995064498575304,0.0032995064498575304,0.0032995064498575304,0.0,0.0,0.0,0.05233585663025825,0.05233585663025825,0.05233585663025825,-0.04903635018040071,-0.04903635018040071,-0.04903635018040071,0.0,0.0,0.0,105.76437195662963
