,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,special_event,special_event_lower,special_event_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
0,2020-01-01,49.953119,27.952209929309056,54.73218400587824,49.953119,49.953119,-8.876231659009772,-8.876231659009772,-8.876231659009772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2072405204340959,-0.2072405204340959,-0.2072405204340959,-8.668991138575677,-8.668991138575677,-8.668991138575677,41.076887340990226
1,2020-01-02,49.947524935,27.80092722325263,54.48473851861238,49.947524935,49.947524935,-8.523107138712522,-8.523107138712522,-8.523107138712522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19502263198953396,0.19502263198953396,0.19502263198953396,-8.718129770702056,-8.718129770702056,-8.718129770702056,41.42441779628747
2,2020-01-03,49.94193087,31.93883249309396,58.692635511413336,49.94193087,49.94193087,-4.5689730735385545,-4.5689730735385545,-4.5689730735385545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.202566201669951,4.202566201669951,4.202566201669951,-8.771539275208506,-8.771539275208506,-8.771539275208506,45.37295779646145
3,2020-01-04,49.936336804999996,22.24650273466774,47.43932637804046,49.936336804999996,49.936336804999996,-15.11626584766599,-15.11626584766599,-15.11626584766599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.288219042506339,-6.288219042506339,-6.288219042506339,-8.828046805159655,-8.828046805159655,-8.828046805159655,34.82007095733401
4,2020-01-05,49.93074273999999,17.108281153892133,44.4716813307652,49.93074273999999,49.93074273999999,-19.08755740164285,-19.08755740164285,-19.08755740164285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.201201701540398,-10.201201701540398,-10.201201701540398,-8.886355700102456,-8.886355700102456,-8.886355700102456,30.84318533835714
5,2020-01-06,49.925148674999996,36.50585801627379,62.608742404510345,49.925148674999996,49.925148674999996,-0.8069306297532541,-0.8069306297532541,-0.8069306297532541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.138146660249776,8.138146660249776,8.138146660249776,-8.94507729000303,-8.94507729000303,-8.94507729000303,49.11821804524674
6,2020-01-07,49.91955461,32.024619193209254,58.797594976941426,49.91955461,49.91955461,-4.841839989788319,-4.841839989788319,-4.841839989788319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.160925770593222,4.160925770593222,4.160925770593222,-9.002765760381541,-9.002765760381541,-9.002765760381541,45.07771462021168
7,2020-01-08,49.913960545,28.104926694311814,53.72107190207575,49.913960545,49.913960545,-9.265195535454135,-9.265195535454135,-9.265195535454135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2072405204287517,-0.2072405204287517,-0.2072405204287517,-9.057955015025383,-9.057955015025383,-9.057955015025383,40.64876500954587
8,2020-01-09,49.90836648,27.126479970015012,53.94826765530176,49.90836648,49.90836648,-8.914173781439194,-8.914173781439194,-8.914173781439194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19502263199919617,0.19502263199919617,0.19502263199919617,-9.10919641343839,-9.10919641343839,-9.10919641343839,40.9941926985608
9,2020-01-10,49.902772415,31.413597805072776,57.84181815975908,49.902772415,49.902772415,-4.952530035018069,-4.952530035018069,-4.952530035018069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.202566201704006,4.202566201704006,4.202566201704006,-9.155096236722075,-9.155096236722075,-9.155096236722075,44.95024237998193
10,2020-01-11,49.89717835,20.49903042808546,48.12075467056769,49.89717835,49.89717835,-15.482570791109985,-15.482570791109985,-15.482570791109985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.288219042527701,-6.288219042527701,-6.288219042527701,-9.194351748582285,-9.194351748582285,-9.194351748582285,34.41460755889001
11,2020-01-12,49.891584285,16.954339393567995,44.43289676692551,49.891584285,49.891584285,-19.42698646839432,-19.42698646839432,-19.42698646839432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.201201701535666,-10.201201701535666,-10.201201701535666,-9.22578476685865,-9.22578476685865,-9.22578476685865,30.464597816605682
12,2020-01-13,49.88599022,35.03295214852807,63.07188660860264,49.88599022,49.88599022,-1.1102250834226195,-1.1102250834226195,-1.1102250834226195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.138146660254257,8.138146660254257,8.138146660254257,-9.248371743676875,-9.248371743676875,-9.248371743676875,48.77576513657738
13,2020-01-14,49.880396155,31.26418495376978,57.782488676132964,49.880396155,49.880396155,-5.100343695552901,-5.100343695552901,-5.100343695552901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16092577058445,4.16092577058445,4.16092577058445,-9.261269466137351,-9.261269466137351,-9.261269466137351,44.7800524594471
14,2020-01-15,49.874802089999996,27.363396397694,53.796504622210165,49.874802089999996,49.874802089999996,-9.471076150963722,-9.471076150963722,-9.471076150963722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20724052041786378,-0.20724052041786378,-0.20724052041786378,-9.263835630545858,-9.263835630545858,-9.263835630545858,40.40372593903628
15,2020-01-16,49.869208025,28.234729188784133,54.93111406798097,49.869208025,49.869208025,-9.0606210749261,-9.0606210749261,-9.0606210749261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1950226320088582,0.1950226320088582,0.1950226320088582,-9.255643706934958,-9.255643706934958,-9.255643706934958,40.8085869500739
16,2020-01-17,49.86361396,30.894133604871147,58.93489775187478,49.86361396,49.86361396,-5.03392548989672,-5.03392548989672,-5.03392548989672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.202566201658501,4.202566201658501,4.202566201658501,-9.236491691555221,-9.236491691555221,-9.236491691555221,44.829688470103285
17,2020-01-18,49.858019895,20.308551617159427,47.993026583162006,49.858019895,49.858019895,-15.49462357987254,-15.49462357987254,-15.49462357987254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.28821904251497,-6.28821904251497,-6.28821904251497,-9.206404537357573,-9.206404537357573,-9.206404537357573,34.36339631512746
18,2020-01-19,49.85242583,16.832519269377304,44.78650730519933,49.85242583,49.85242583,-19.366831951372657,-19.366831951372657,-19.366831951372657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.201201701518672,-10.201201701518672,-10.201201701518672,-9.165630249853983,-9.165630249853983,-9.165630249853983,30.485593878627345
19,2020-01-20,49.846831765,34.954178556074595,62.647925085688954,49.846831765,49.846831765,-0.9764831716915033,-0.9764831716915033,-0.9764831716915033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.138146660263788,8.138146660263788,8.138146660263788,-9.114629831955293,-9.114629831955293,-9.114629831955293,48.87034859330849
20,2020-01-21,49.8412377,32.41931520121115,58.92533708423752,49.8412377,49.8412377,-4.893135679416777,-4.893135679416777,-4.893135679416777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.160925770575678,4.160925770575678,4.160925770575678,-9.054061449992455,-9.054061449992455,-9.054061449992455,44.94810202058322
21,2020-01-22,49.835643635,27.120402906847495,54.390548934655854,49.835643635,49.835643635,-9.191999888675316,-9.191999888675316,-9.191999888675316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20724052041252017,-0.20724052041252017,-0.20724052041252017,-8.984759368262797,-8.984759368262797,-8.984759368262797,40.643643746324685
22,2020-01-23,49.83004957,28.565323736901004,54.90997792072516,49.83004957,49.83004957,-8.712685723448331,-8.712685723448331,-8.712685723448331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19502263201852058,0.19502263201852058,0.19502263201852058,-8.90770835546685,-8.90770835546685,-8.90770835546685,41.11736384655167
23,2020-01-24,49.824455504999996,31.860717854827413,58.94843894329157,49.824455504999996,49.824455504999996,-4.621448196811616,-4.621448196811616,-4.621448196811616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.202566201668362,4.202566201668362,4.202566201668362,-8.824014398479976,-8.824014398479976,-8.824014398479976,45.20300730818838
24,2020-01-25,49.81886144,20.97974400423239,47.49720689475839,49.81886144,49.81886144,-15.023091705493314,-15.023091705493314,-15.023091705493314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.2882190425363325,-6.2882190425363325,-6.2882190425363325,-8.734872662956981,-8.734872662956981,-8.734872662956981,34.795769734506685
25,2020-01-26,49.813267374999995,16.61026277120276,44.75072009410587,49.813267374999995,49.813267374999995,-18.842735414628365,-18.842735414628365,-18.842735414628365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.20120170155537,-10.20120170155537,-10.20120170155537,-8.641533713072995,-8.641533713072995,-8.641533713072995,30.97053196037163
26,2020-01-27,49.80767331,36.15255496611343,62.219451556291425,49.80767331,49.80767331,-0.4071223819433178,-0.4071223819433178,-0.4071223819433178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13814666027332,8.13814666027332,8.13814666027332,-8.545269042216637,-8.545269042216637,-8.545269042216637,49.40055092805668
27,2020-01-28,49.802079245,31.599684096463413,58.82037146701888,49.802079245,49.802079245,-4.286411201023189,-4.286411201023189,-4.286411201023189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.160925770573232,4.160925770573232,4.160925770573232,-8.447336971596421,-8.447336971596421,-8.447336971596421,45.51566804397681
