medicine_id,ds,y
3,2020-01-01,59
3,2020-01-02,69
3,2020-01-03,65
3,2020-01-04,46
3,2020-01-05,54
3,2020-01-06,52
3,2020-01-07,58
3,2020-01-08,63
3,2020-01-09,59
3,2020-01-10,57
3,2020-01-11,60
3,2020-01-12,66
3,2020-01-13,57
3,2020-01-14,63
3,2020-01-15,56
3,2020-01-16,52
3,2020-01-17,55
3,2020-01-18,53
3,2020-01-19,57
3,2020-01-20,63
3,2020-01-21,59
3,2020-01-22,61
3,2020-01-23,60
3,2020-01-24,62
3,2020-01-25,54
3,2020-01-26,59
3,2020-01-27,54
3,2020-01-28,56
3,2020-01-29,75
3,2020-01-30,54
3,2020-01-31,61
3,2020-02-01,50
3,2020-02-02,50
3,2020-02-03,54
3,2020-02-04,61
3,2020-02-05,60
3,2020-02-06,65
3,2020-02-07,50
3,2020-02-08,49
3,2020-02-09,61
3,2020-02-10,69
3,2020-02-11,56
3,2020-02-12,65
3,2020-02-13,56
3,2020-02-14,64
3,2020-02-15,56
3,2020-02-16,45
3,2020-02-17,48
3,2020-02-18,74
3,2020-02-19,49
3,2020-02-20,59
3,2020-02-21,62
3,2020-02-22,48
3,2020-02-23,57
3,2020-02-24,62
3,2020-02-25,66
3,2020-02-26,61
3,2020-02-27,70
3,2020-02-28,59
3,2020-02-29,52
3,2020-03-01,54
3,2020-03-02,51
3,2020-03-03,66
3,2020-03-04,60
3,2020-03-05,61
3,2020-03-06,75
3,2020-03-07,53
3,2020-03-08,57
3,2020-03-09,64
3,2020-03-10,67
3,2020-03-11,64
3,2020-03-12,67
3,2020-03-13,71
3,2020-03-14,53
3,2020-03-15,117
3,2020-03-16,127
3,2020-03-17,125
3,2020-03-18,117
3,2020-03-19,131
3,2020-03-20,142
3,2020-03-21,109
3,2020-03-22,121
3,2020-03-23,120
3,2020-03-24,129
3,2020-03-25,115
3,2020-03-26,118
3,2020-03-27,149
3,2020-03-28,109
3,2020-03-29,122
3,2020-03-30,126
3,2020-03-31,150
3,2020-04-01,133
3,2020-04-02,105
3,2020-04-03,142
3,2020-04-04,135
3,2020-04-05,111
3,2020-04-06,124
3,2020-04-07,144
3,2020-04-08,133
3,2020-04-09,128
3,2020-04-10,138
3,2020-04-11,123
3,2020-04-12,138
3,2020-04-13,144
3,2020-04-14,135
3,2020-04-15,124
3,2020-04-16,130
3,2020-04-17,126
3,2020-04-18,126
3,2020-04-19,126
3,2020-04-20,137
3,2020-04-21,111
3,2020-04-22,138
3,2020-04-23,118
3,2020-04-24,116
3,2020-04-25,127
3,2020-04-26,104
3,2020-04-27,146
3,2020-04-28,133
3,2020-04-29,143
3,2020-04-30,157
3,2020-05-01,128
