medicine_id,ds,y
4,2020-01-01,49
4,2020-01-02,69
4,2020-01-03,45
4,2020-01-04,62
4,2020-01-05,39
4,2020-01-06,41
4,2020-01-07,62
4,2020-01-08,55
4,2020-01-09,54
4,2020-01-10,59
4,2020-01-11,56
4,2020-01-12,28
4,2020-01-13,64
4,2020-01-14,56
4,2020-01-15,53
4,2020-01-16,76
4,2020-01-17,66
4,2020-01-18,66
4,2020-01-19,54
4,2020-01-20,38
4,2020-01-21,61
4,2020-01-22,79
4,2020-01-23,52
4,2020-01-24,49
4,2020-01-25,43
4,2020-01-26,33
4,2020-01-27,71
4,2020-01-28,64
4,2020-01-29,49
4,2020-01-30,43
4,2020-01-31,59
4,2020-02-01,65
4,2020-02-02,48
4,2020-02-03,76
4,2020-02-04,42
4,2020-02-05,80
4,2020-02-06,48
4,2020-02-07,65
4,2020-02-08,85
4,2020-02-09,43
4,2020-02-10,85
4,2020-02-11,72
4,2020-02-12,82
4,2020-02-13,93
4,2020-02-14,60
4,2020-02-15,62
4,2020-02-16,65
4,2020-02-17,72
4,2020-02-18,89
4,2020-02-19,59
4,2020-02-20,69
4,2020-02-21,82
4,2020-02-22,70
4,2020-02-23,48
4,2020-02-24,81
4,2020-02-25,107
4,2020-02-26,58
4,2020-02-27,53
4,2020-02-28,74
4,2020-02-29,62
4,2020-03-01,73
4,2020-03-02,98
4,2020-03-03,77
4,2020-03-04,82
4,2020-03-05,95
4,2020-03-06,51
4,2020-03-07,46
4,2020-03-08,92
4,2020-03-09,85
4,2020-03-10,109
4,2020-03-11,98
4,2020-03-12,59
4,2020-03-13,106
4,2020-03-14,67
4,2020-03-15,302
4,2020-03-16,243
4,2020-03-17,284
4,2020-03-18,227
4,2020-03-19,378
4,2020-03-20,252
4,2020-03-21,299
4,2020-03-22,278
4,2020-03-23,426
4,2020-03-24,219
4,2020-03-25,311
4,2020-03-26,423
4,2020-03-27,456
4,2020-03-28,276
4,2020-03-29,169
4,2020-03-30,317
4,2020-03-31,519
4,2020-04-01,319
4,2020-04-02,356
4,2020-04-03,242
4,2020-04-04,290
4,2020-04-05,254
4,2020-04-06,299
4,2020-04-07,332
4,2020-04-08,487
4,2020-04-09,291
4,2020-04-10,335
4,2020-04-11,315
4,2020-04-12,240
4,2020-04-13,240
4,2020-04-14,389
4,2020-04-15,375
4,2020-04-16,377
4,2020-04-17,400
4,2020-04-18,265
4,2020-04-19,282
4,2020-04-20,205
4,2020-04-21,362
4,2020-04-22,294
4,2020-04-23,407
4,2020-04-24,279
4,2020-04-25,237
4,2020-04-26,249
4,2020-04-27,280
4,2020-04-28,377
4,2020-04-29,218
4,2020-04-30,239
4,2020-05-01,370
4,2020-05-02,263
4,2020-05-03,224
4,2020-05-04,278
4,2020-05-05,276
4,2020-05-06,262
4,2020-05-07,208
4,2020-05-08,262
4,2020-05-09,241
4,2020-05-10,214
4,2020-05-11,292
4,2020-05-12,220
4,2020-05-13,315
4,2020-05-14,275
4,2020-05-15,267
4,2020-05-16,230
4,2020-05-17,219
4,2020-05-18,288
4,2020-05-19,303
4,2020-05-20,238
4,2020-05-21,203
4,2020-05-22,330
4,2020-05-23,191
4,2020-05-24,271
4,2020-05-25,284
4,2020-05-26,294
4,2020-05-27,262
4,2020-05-28,345
4,2020-05-29,329
4,2020-05-30,193
4,2020-05-31,277
4,2020-06-01,248
4,2020-06-02,196
4,2020-06-03,200
4,2020-06-04,272
4,2020-06-05,123
4,2020-06-06,137
4,2020-06-07,187
4,2020-06-08,169
4,2020-06-09,204
4,2020-06-10,207
4,2020-06-11,177
4,2020-06-12,224
4,2020-06-13,172
4,2020-06-14,126
4,2020-06-15,205
4,2020-06-16,228
4,2020-06-17,151
4,2020-06-18,189
4,2020-06-19,186
4,2020-06-20,129
4,2020-06-21,140
4,2020-06-22,255
4,2020-06-23,194
4,2020-06-24,209
4,2020-06-25,293
4,2020-06-26,223
4,2020-06-27,164
4,2020-06-28,129
4,2020-06-29,148
4,2020-06-30,142
4,2020-07-01,144
4,2020-07-02,198
4,2020-07-03,191
4,2020-07-04,133
4,2020-07-05,100
4,2020-07-06,199
4,2020-07-07,125
4,2020-07-08,124
4,2020-07-09,195
4,2020-07-10,185
4,2020-07-11,148
4,2020-07-12,145
4,2020-07-13,155
4,2020-07-14,173
4,2020-07-15,159
4,2020-07-16,181
4,2020-07-17,206
4,2020-07-18,150
4,2020-07-19,109
4,2020-07-20,178
