medicine_id,ds,y
2,2020-01-01,87
2,2020-01-02,86
2,2020-01-03,91
2,2020-01-04,68
2,2020-01-05,57
2,2020-01-06,103
2,2020-01-07,90
2,2020-01-08,82
2,2020-01-09,80
2,2020-01-10,91
2,2020-01-11,63
2,2020-01-12,60
2,2020-01-13,98
2,2020-01-14,100
2,2020-01-15,78
2,2020-01-16,77
2,2020-01-17,88
2,2020-01-18,75
2,2020-01-19,60
2,2020-01-20,110
2,2020-01-21,92
2,2020-01-22,78
2,2020-01-23,87
2,2020-01-24,94
2,2020-01-25,71
2,2020-01-26,65
2,2020-01-27,96
2,2020-01-28,96
2,2020-01-29,83
2,2020-01-30,77
2,2020-01-31,97
2,2020-02-01,74
2,2020-02-02,61
2,2020-02-03,88
2,2020-02-04,84
2,2020-02-05,86
2,2020-02-06,77
2,2020-02-07,86
2,2020-02-08,73
2,2020-02-09,65
2,2020-02-10,105
2,2020-02-11,97
2,2020-02-12,88
2,2020-02-13,89
2,2020-02-14,88
2,2020-02-15,78
2,2020-02-16,60
2,2020-02-17,99
2,2020-02-18,95
2,2020-02-19,84
2,2020-02-20,84
2,2020-02-21,93
2,2020-02-22,70
2,2020-02-23,67
2,2020-02-24,115
2,2020-02-25,96
2,2020-02-26,80
2,2020-02-27,79
2,2020-02-28,97
2,2020-02-29,78
2,2020-03-01,67
2,2020-03-02,112
2,2020-03-03,95
2,2020-03-04,90
2,2020-03-05,87
2,2020-03-06,99
2,2020-03-07,79
2,2020-03-08,64
2,2020-03-09,117
2,2020-03-10,96
2,2020-03-11,94
2,2020-03-12,82
2,2020-03-13,94
2,2020-03-14,69
2,2020-03-15,75
2,2020-03-16,108
2,2020-03-17,115
2,2020-03-18,111
2,2020-03-19,118
2,2020-03-20,138
2,2020-03-21,108
2,2020-03-22,93
2,2020-03-23,170
2,2020-03-24,161
2,2020-03-25,158
2,2020-03-26,152
2,2020-03-27,184
2,2020-03-28,151
2,2020-03-29,137
2,2020-03-30,224
2,2020-03-31,182
2,2020-04-01,179
2,2020-04-02,198
2,2020-04-03,185
2,2020-04-04,146
2,2020-04-05,136
2,2020-04-06,218
2,2020-04-07,170
2,2020-04-08,168
2,2020-04-09,180
2,2020-04-10,181
2,2020-04-11,162
2,2020-04-12,130
2,2020-04-13,213
2,2020-04-14,196
2,2020-04-15,163
2,2020-04-16,162
2,2020-04-17,188
2,2020-04-18,157
2,2020-04-19,131
2,2020-04-20,193
2,2020-04-21,186
2,2020-04-22,169
2,2020-04-23,180
2,2020-04-24,176
2,2020-04-25,163
2,2020-04-26,134
2,2020-04-27,209
2,2020-04-28,197
2,2020-04-29,159
2,2020-04-30,166
2,2020-05-01,180
2,2020-05-02,151
2,2020-05-03,117
2,2020-05-04,190
2,2020-05-05,184
2,2020-05-06,163
2,2020-05-07,161
2,2020-05-08,195
2,2020-05-09,149
2,2020-05-10,122
2,2020-05-11,184
2,2020-05-12,172
2,2020-05-13,168
2,2020-05-14,164
2,2020-05-15,180
2,2020-05-16,132
2,2020-05-17,118
2,2020-05-18,205
2,2020-05-19,180
2,2020-05-20,159
2,2020-05-21,157
2,2020-05-22,199
2,2020-05-23,143
2,2020-05-24,125
2,2020-05-25,194
2,2020-05-26,178
2,2020-05-27,136
2,2020-05-28,148
2,2020-05-29,176
2,2020-05-30,122
2,2020-05-31,116
2,2020-06-01,174
2,2020-06-02,170
2,2020-06-03,143
2,2020-06-04,162
2,2020-06-05,150
2,2020-06-06,132
2,2020-06-07,111
2,2020-06-08,164
2,2020-06-09,166
2,2020-06-10,155
2,2020-06-11,121
2,2020-06-12,152
2,2020-06-13,123
2,2020-06-14,114
2,2020-06-15,164
2,2020-06-16,154
2,2020-06-17,144
2,2020-06-18,130
2,2020-06-19,149
2,2020-06-20,132
2,2020-06-21,103
2,2020-06-22,169
2,2020-06-23,149
2,2020-06-24,132
2,2020-06-25,129
2,2020-06-26,144
2,2020-06-27,115
2,2020-06-28,105
2,2020-06-29,149
2,2020-06-30,148
2,2020-07-01,140
2,2020-07-02,129
2,2020-07-03,152
2,2020-07-04,114
2,2020-07-05,95
2,2020-07-06,143
2,2020-07-07,145
2,2020-07-08,124
2,2020-07-09,119
2,2020-07-10,133
2,2020-07-11,119
2,2020-07-12,96
2,2020-07-13,165
2,2020-07-14,148
2,2020-07-15,128
2,2020-07-16,121
2,2020-07-17,135
2,2020-07-18,109
2,2020-07-19,89
2,2020-07-20,143
2,2020-07-21,122
2,2020-07-22,107
2,2020-07-23,105
2,2020-07-24,105
2,2020-07-25,81
2,2020-07-26,64
2,2020-07-27,103
2,2020-07-28,94
2,2020-07-29,71
2,2020-07-30,75
2,2020-07-31,74
2,2020-08-01,58
2,2020-08-02,48
2,2020-08-03,75
2,2020-08-04,79
2,2020-08-05,66
2,2020-08-06,68
2,2020-08-07,79
2,2020-08-08,53
2,2020-08-09,53
2,2020-08-10,89
2,2020-08-11,72
2,2020-08-12,73
2,2020-08-13,70
2,2020-08-14,85
2,2020-08-15,63
2,2020-08-16,52
2,2020-08-17,82
2,2020-08-18,81
2,2020-08-19,71
2,2020-08-20,73
2,2020-08-21,86
2,2020-08-22,65
2,2020-08-23,54
2,2020-08-24,83
2,2020-08-25,81
2,2020-08-26,75
2,2020-08-27,71
2,2020-08-28,82
2,2020-08-29,58
2,2020-08-30,62
2,2020-08-31,84
2,2020-09-01,75
2,2020-09-02,80
2,2020-09-03,78
2,2020-09-04,81
2,2020-09-05,59
2,2020-09-06,62
2,2020-09-07,107
2,2020-09-08,89
2,2020-09-09,75
2,2020-09-10,72
2,2020-09-11,68
2,2020-09-12,64
2,2020-09-13,58
2,2020-09-14,88
2,2020-09-15,92
2,2020-09-16,82
2,2020-09-17,77
2,2020-09-18,80
2,2020-09-19,65
2,2020-09-20,53
2,2020-09-21,96
2,2020-09-22,83
2,2020-09-23,76
2,2020-09-24,75
2,2020-09-25,85
2,2020-09-26,71
2,2020-09-27,60
2,2020-09-28,97
2,2020-09-29,87
2,2020-09-30,78
2,2020-10-01,81
2,2020-10-02,85
