medicine_id,ds,y
5,2020-01-01,28
5,2020-01-02,29
5,2020-01-03,35
5,2020-01-04,26
5,2020-01-05,22
5,2020-01-06,38
5,2020-01-07,35
5,2020-01-08,29
5,2020-01-09,30
5,2020-01-10,34
5,2020-01-11,26
5,2020-01-12,25
5,2020-01-13,35
5,2020-01-14,33
5,2020-01-15,30
5,2020-01-16,29
5,2020-01-17,35
5,2020-01-18,26
5,2020-01-19,23
5,2020-01-20,41
5,2020-01-21,34
5,2020-01-22,30
5,2020-01-23,31
5,2020-01-24,33
5,2020-01-25,26
5,2020-01-26,22
5,2020-01-27,38
5,2020-01-28,33
5,2020-01-29,29
5,2020-01-30,27
5,2020-01-31,37
5,2020-02-01,29
5,2020-02-02,23
5,2020-02-03,36
5,2020-02-04,36
5,2020-02-05,32
5,2020-02-06,34
5,2020-02-07,34
5,2020-02-08,31
5,2020-02-09,23
5,2020-02-10,41
5,2020-02-11,37
5,2020-02-12,31
5,2020-02-13,32
5,2020-02-14,35
5,2020-02-15,31
5,2020-02-16,25
5,2020-02-17,42
5,2020-02-18,35
5,2020-02-19,28
5,2020-02-20,33
5,2020-02-21,34
5,2020-02-22,27
5,2020-02-23,23
5,2020-02-24,43
5,2020-02-25,37
5,2020-02-26,31
5,2020-02-27,31
5,2020-02-28,32
5,2020-02-29,30
5,2020-03-01,26
5,2020-03-02,36
5,2020-03-03,33
5,2020-03-04,30
5,2020-03-05,36
5,2020-03-06,35
5,2020-03-07,26
5,2020-03-08,24
5,2020-03-09,45
5,2020-03-10,39
5,2020-03-11,33
5,2020-03-12,34
5,2020-03-13,39
5,2020-03-14,30
5,2020-03-15,25
5,2020-03-16,47
5,2020-03-17,45
5,2020-03-18,38
5,2020-03-19,43
5,2020-03-20,45
5,2020-03-21,43
5,2020-03-22,35
5,2020-03-23,64
5,2020-03-24,62
5,2020-03-25,55
5,2020-03-26,63
5,2020-03-27,64
5,2020-03-28,51
5,2020-03-29,50
5,2020-03-30,82
5,2020-03-31,77
5,2020-04-01,64
5,2020-04-02,64
