medicine_id,date,quantity_used
3,2020-01-01,59
3,2020-01-02,57
3,2020-01-03,67
3,2020-01-04,48
3,2020-01-05,42
3,2020-01-06,75
3,2020-01-07,66
3,2020-01-08,62
3,2020-01-09,55
3,2020-01-10,64
3,2020-01-11,53
3,2020-01-12,43
3,2020-01-13,73
3,2020-01-14,64
3,2020-01-15,56
3,2020-01-16,67
3,2020-01-17,69
3,2020-01-18,53
3,2020-01-19,48
3,2020-01-20,73
3,2020-01-21,73
3,2020-01-22,56
3,2020-01-23,62
3,2020-01-24,68
3,2020-01-25,52
3,2020-01-26,48
3,2020-01-27,72
3,2020-01-28,74
3,2020-01-29,62
3,2020-01-30,63
3,2020-01-31,71
3,2020-02-01,61
3,2020-02-02,54
3,2020-02-03,79
3,2020-02-04,69
3,2020-02-05,55
3,2020-02-06,57
3,2020-02-07,69
3,2020-02-08,54
3,2020-02-09,53
3,2020-02-10,80
3,2020-02-11,73
3,2020-02-12,64
3,2020-02-13,66
3,2020-02-14,68
3,2020-02-15,57
3,2020-02-16,51
3,2020-02-17,75
3,2020-02-18,68
3,2020-02-19,61
3,2020-02-20,60
3,2020-02-21,77
3,2020-02-22,58
3,2020-02-23,53
3,2020-02-24,74
3,2020-02-25,72
3,2020-02-26,62
3,2020-02-27,63
3,2020-02-28,73
3,2020-02-29,55
3,2020-03-01,44
3,2020-03-02,78
3,2020-03-03,69
3,2020-03-04,66
3,2020-03-05,68
3,2020-03-06,72
3,2020-03-07,55
3,2020-03-08,49
3,2020-03-09,84
3,2020-03-10,85
3,2020-03-11,68
3,2020-03-12,65
3,2020-03-13,68
3,2020-03-14,58
3,2020-03-15,53
3,2020-03-16,86
3,2020-03-17,80
3,2020-03-18,87
3,2020-03-19,87
3,2020-03-20,106
3,2020-03-21,80
3,2020-03-22,70
3,2020-03-23,121
3,2020-03-24,122
3,2020-03-25,113
3,2020-03-26,115
3,2020-03-27,116
3,2020-03-28,102
3,2020-03-29,104
3,2020-03-30,153
3,2020-03-31,135
3,2020-04-01,123
3,2020-04-02,139
3,2020-04-03,147
3,2020-04-04,110
3,2020-04-05,96
3,2020-04-06,175
3,2020-04-07,143
3,2020-04-08,126
3,2020-04-09,126
3,2020-04-10,134
3,2020-04-11,120
3,2020-04-12,98
3,2020-04-13,152
3,2020-04-14,141
3,2020-04-15,139
3,2020-04-16,141
3,2020-04-17,159
3,2020-04-18,106
3,2020-04-19,96
3,2020-04-20,164
3,2020-04-21,142
3,2020-04-22,115
3,2020-04-23,126
3,2020-04-24,140
3,2020-04-25,120
3,2020-04-26,99
3,2020-04-27,157
3,2020-04-28,140
3,2020-04-29,133
3,2020-04-30,123
3,2020-05-01,138
3,2020-05-02,109
3,2020-05-03,91
3,2020-05-04,161
3,2020-05-05,136
3,2020-05-06,127
3,2020-05-07,112
3,2020-05-08,150
3,2020-05-09,94
3,2020-05-10,105
3,2020-05-11,150
3,2020-05-12,133
3,2020-05-13,128
3,2020-05-14,126
3,2020-05-15,137
3,2020-05-16,91
3,2020-05-17,92
3,2020-05-18,153
3,2020-05-19,137
3,2020-05-20,131
3,2020-05-21,126
3,2020-05-22,115
3,2020-05-23,117
3,2020-05-24,91
3,2020-05-25,139
3,2020-05-26,131
3,2020-05-27,118
3,2020-05-28,112
3,2020-05-29,127
3,2020-05-30,89
3,2020-05-31,88
3,2020-06-01,127
3,2020-06-02,132
3,2020-06-03,106
3,2020-06-04,109
3,2020-06-05,117
3,2020-06-06,95
3,2020-06-07,83
3,2020-06-08,132
3,2020-06-09,137
3,2020-06-10,108
3,2020-06-11,110
3,2020-06-12,115
3,2020-06-13,88
3,2020-06-14,83
3,2020-06-15,126
3,2020-06-16,117
3,2020-06-17,112
3,2020-06-18,115
3,2020-06-19,116
3,2020-06-20,91
3,2020-06-21,79
3,2020-06-22,117
3,2020-06-23,115
3,2020-06-24,107
3,2020-06-25,118
3,2020-06-26,112
3,2020-06-27,86
3,2020-06-28,74
3,2020-06-29,113
3,2020-06-30,107
3,2020-07-01,105
3,2020-07-02,106
3,2020-07-03,111
3,2020-07-04,87
3,2020-07-05,73
3,2020-07-06,111
3,2020-07-07,117
3,2020-07-08,102
3,2020-07-09,106
3,2020-07-10,103
3,2020-07-11,82
3,2020-07-12,69
3,2020-07-13,129
3,2020-07-14,98
3,2020-07-15,95
3,2020-07-16,97
3,2020-07-17,111
3,2020-07-18,86
3,2020-07-19,62
3,2020-07-20,97
3,2020-07-21,96
3,2020-07-22,81
3,2020-07-23,73
3,2020-07-24,83
3,2020-07-25,57
3,2020-07-26,51
3,2020-07-27,80
3,2020-07-28,66
3,2020-07-29,57
3,2020-07-30,60
3,2020-07-31,54
3,2020-08-01,46
3,2020-08-02,40
3,2020-08-03,64
3,2020-08-04,56
3,2020-08-05,52
3,2020-08-06,48
3,2020-08-07,55
3,2020-08-08,41
3,2020-08-09,38
3,2020-08-10,60
3,2020-08-11,63
3,2020-08-12,58
3,2020-08-13,50
3,2020-08-14,62
3,2020-08-15,46
3,2020-08-16,38
3,2020-08-17,62
3,2020-08-18,61
3,2020-08-19,47
3,2020-08-20,57
3,2020-08-21,58
3,2020-08-22,49
3,2020-08-23,41
3,2020-08-24,67
3,2020-08-25,57
3,2020-08-26,53
3,2020-08-27,60
3,2020-08-28,61
3,2020-08-29,48
3,2020-08-30,41
3,2020-08-31,67
3,2020-09-01,63
3,2020-09-02,51
3,2020-09-03,59
3,2020-09-04,58
3,2020-09-05,49
3,2020-09-06,48
3,2020-09-07,66
3,2020-09-08,62
3,2020-09-09,68
3,2020-09-10,62
3,2020-09-11,65
3,2020-09-12,47
3,2020-09-13,44
3,2020-09-14,64
3,2020-09-15,61
3,2020-09-16,59
3,2020-09-17,55
3,2020-09-18,72
3,2020-09-19,49
3,2020-09-20,43
3,2020-09-21,71
3,2020-09-22,62
3,2020-09-23,60
3,2020-09-24,53
3,2020-09-25,66
3,2020-09-26,51
3,2020-09-27,44
3,2020-09-28,74
3,2020-09-29,70
3,2020-09-30,57
3,2020-10-01,62
3,2020-10-02,71
3,2020-10-03,53
3,2020-10-04,45
3,2020-10-05,71
3,2020-10-06,66
3,2020-10-07,67
3,2020-10-08,60
3,2020-10-09,71
3,2020-10-10,51
3,2020-10-11,42
3,2020-10-12,76
3,2020-10-13,60
3,2020-10-14,64
3,2020-10-15,54
3,2020-10-16,70
3,2020-10-17,54
3,2020-10-18,45
3,2020-10-19,71
3,2020-10-20,74
3,2020-10-21,75
3,2020-10-22,82
3,2020-10-23,105
3,2020-10-24,83
3,2020-10-25,80
3,2020-10-26,124
3,2020-10-27,92
3,2020-10-28,79
3,2020-10-29,73
3,2020-10-30,71
3,2020-10-31,50
3,2020-11-01,44
3,2020-11-02,78
3,2020-11-03,69
3,2020-11-04,60
3,2020-11-05,59
3,2020-11-06,64
3,2020-11-07,55
3,2020-11-08,42
3,2020-11-09,76
3,2020-11-10,66
3,2020-11-11,61
3,2020-11-12,62
3,2020-11-13,66
3,2020-11-14,50
3,2020-11-15,38
3,2020-11-16,70
3,2020-11-17,62
3,2020-11-18,60
3,2020-11-19,60
3,2020-11-20,60
3,2020-11-21,53
3,2020-11-22,46
3,2020-11-23,73
3,2020-11-24,60
3,2020-11-25,59
3,2020-11-26,59
3,2020-11-27,65
3,2020-11-28,50
3,2020-11-29,43
3,2020-11-30,71
3,2020-12-01,67
3,2020-12-02,62
3,2020-12-03,60
3,2020-12-04,63
3,2020-12-05,49
3,2020-12-06,42
3,2020-12-07,71
3,2020-12-08,61
3,2020-12-09,65
3,2020-12-10,58
3,2020-12-11,65
3,2020-12-12,54
3,2020-12-13,48
3,2020-12-14,74
3,2020-12-15,66
3,2020-12-16,59
3,2020-12-17,54
3,2020-12-18,65
3,2020-12-19,50
3,2020-12-20,48
3,2020-12-21,67
3,2020-12-22,72
3,2020-12-23,60
3,2020-12-24,57
3,2020-12-25,61
3,2020-12-26,57
3,2020-12-27,48
3,2020-12-28,73
3,2020-12-29,66
3,2020-12-30,59
3,2020-12-31,62
3,2021-01-01,67
3,2021-01-02,51
3,2021-01-03,44
3,2021-01-04,71
3,2021-01-05,65
3,2021-01-06,66
3,2021-01-07,63
3,2021-01-08,64
3,2021-01-09,49
3,2021-01-10,46
3,2021-01-11,74
3,2021-01-12,67
3,2021-01-13,60
3,2021-01-14,63
3,2021-01-15,71
3,2021-01-16,52
3,2021-01-17,46
3,2021-01-18,78
3,2021-01-19,69
3,2021-01-20,67
3,2021-01-21,66
3,2021-01-22,76
3,2021-01-23,52
3,2021-01-24,51
3,2021-01-25,80
3,2021-01-26,72
3,2021-01-27,59
3,2021-01-28,61
3,2021-01-29,67
3,2021-01-30,55
3,2021-01-31,56
3,2021-02-01,85
3,2021-02-02,73
3,2021-02-03,67
3,2021-02-04,66
3,2021-02-05,65
3,2021-02-06,56
3,2021-02-07,49
3,2021-02-08,80
3,2021-02-09,69
3,2021-02-10,65
3,2021-02-11,63
3,2021-02-12,78
3,2021-02-13,54
3,2021-02-14,50
3,2021-02-15,74
3,2021-02-16,69
3,2021-02-17,63
3,2021-02-18,69
3,2021-02-19,74
3,2021-02-20,61
3,2021-02-21,54
3,2021-02-22,84
3,2021-02-23,70
3,2021-02-24,64
3,2021-02-25,66
3,2021-02-26,72
3,2021-02-27,54
3,2021-02-28,48
3,2021-03-01,81
3,2021-03-02,80
3,2021-03-03,63
3,2021-03-04,66
3,2021-03-05,67
3,2021-03-06,59
3,2021-03-07,49
3,2021-03-08,80
3,2021-03-09,79
3,2021-03-10,72
3,2021-03-11,72
3,2021-03-12,76
3,2021-03-13,58
3,2021-03-14,53
3,2021-03-15,83
3,2021-03-16,77
3,2021-03-17,76
3,2021-03-18,74
3,2021-03-19,84
3,2021-03-20,58
3,2021-03-21,56
3,2021-03-22,93
3,2021-03-23,81
3,2021-03-24,67
3,2021-03-25,74
3,2021-03-26,85
3,2021-03-27,55
3,2021-03-28,58
3,2021-03-29,89
3,2021-03-30,88
3,2021-03-31,80
3,2021-04-01,74
3,2021-04-02,85
3,2021-04-03,61
3,2021-04-04,58
3,2021-04-05,101
3,2021-04-06,97
3,2021-04-07,96
3,2021-04-08,105
3,2021-04-09,106
3,2021-04-10,92
3,2021-04-11,76
3,2021-04-12,131
3,2021-04-13,115
3,2021-04-14,112
3,2021-04-15,120
3,2021-04-16,138
3,2021-04-17,98
3,2021-04-18,91
3,2021-04-19,149
3,2021-04-20,115
3,2021-04-21,108
3,2021-04-22,110
3,2021-04-23,139
3,2021-04-24,105
3,2021-04-25,87
3,2021-04-26,137
3,2021-04-27,131
3,2021-04-28,116
3,2021-04-29,105
3,2021-04-30,128
3,2021-05-01,110
3,2021-05-02,78
3,2021-05-03,136
3,2021-05-04,125
3,2021-05-05,106
3,2021-05-06,116
3,2021-05-07,126
3,2021-05-08,97
3,2021-05-09,84
3,2021-05-10,134
3,2021-05-11,114
3,2021-05-12,112
3,2021-05-13,110
3,2021-05-14,115
3,2021-05-15,101
3,2021-05-16,93
3,2021-05-17,139
3,2021-05-18,120
3,2021-05-19,113
3,2021-05-20,112
3,2021-05-21,115
3,2021-05-22,95
3,2021-05-23,82
3,2021-05-24,126
3,2021-05-25,106
3,2021-05-26,111
3,2021-05-27,99
3,2021-05-28,115
3,2021-05-29,88
3,2021-05-30,78
3,2021-05-31,129
3,2021-06-01,124
3,2021-06-02,104
3,2021-06-03,100
3,2021-06-04,119
3,2021-06-05,92
3,2021-06-06,75
3,2021-06-07,117
3,2021-06-08,113
3,2021-06-09,94
3,2021-06-10,91
3,2021-06-11,123
3,2021-06-12,80
3,2021-06-13,66
3,2021-06-14,116
3,2021-06-15,115
3,2021-06-16,100
3,2021-06-17,88
3,2021-06-18,98
3,2021-06-19,75
3,2021-06-20,60
3,2021-06-21,94
3,2021-06-22,82
3,2021-06-23,67
3,2021-06-24,72
3,2021-06-25,71
3,2021-06-26,53
3,2021-06-27,46
3,2021-06-28,65
3,2021-06-29,62
3,2021-06-30,52
3,2021-07-01,56
3,2021-07-02,64
3,2021-07-03,49
3,2021-07-04,42
3,2021-07-05,69
3,2021-07-06,59
3,2021-07-07,57
3,2021-07-08,50
3,2021-07-09,55
3,2021-07-10,48
3,2021-07-11,40
3,2021-07-12,69
3,2021-07-13,63
3,2021-07-14,59
3,2021-07-15,56
3,2021-07-16,59
3,2021-07-17,42
3,2021-07-18,38
3,2021-07-19,68
3,2021-07-20,60
3,2021-07-21,47
3,2021-07-22,52
3,2021-07-23,58
3,2021-07-24,49
3,2021-07-25,39
3,2021-07-26,64
3,2021-07-27,57
3,2021-07-28,50
3,2021-07-29,60
3,2021-07-30,61
3,2021-07-31,46
3,2021-08-01,41
3,2021-08-02,67
3,2021-08-03,57
3,2021-08-04,57
3,2021-08-05,53
3,2021-08-06,60
3,2021-08-07,43
3,2021-08-08,40
3,2021-08-09,60
3,2021-08-10,56
3,2021-08-11,55
3,2021-08-12,56
3,2021-08-13,58
3,2021-08-14,43
3,2021-08-15,38
3,2021-08-16,70
3,2021-08-17,62
3,2021-08-18,54
3,2021-08-19,54
3,2021-08-20,61
3,2021-08-21,48
3,2021-08-22,39
3,2021-08-23,68
3,2021-08-24,66
3,2021-08-25,60
3,2021-08-26,60
3,2021-08-27,61
3,2021-08-28,49
3,2021-08-29,44
3,2021-08-30,71
3,2021-08-31,61
3,2021-09-01,58
3,2021-09-02,56
3,2021-09-03,61
3,2021-09-04,46
