medicine_id,date,quantity_used
4,2020-01-01,48
4,2020-01-02,50
4,2020-01-03,56
4,2020-01-04,40
4,2020-01-05,37
4,2020-01-06,60
4,2020-01-07,50
4,2020-01-08,47
4,2020-01-09,47
4,2020-01-10,57
4,2020-01-11,42
4,2020-01-12,38
4,2020-01-13,59
4,2020-01-14,52
4,2020-01-15,50
4,2020-01-16,48
4,2020-01-17,51
4,2020-01-18,42
4,2020-01-19,38
4,2020-01-20,58
4,2020-01-21,53
4,2020-01-22,52
4,2020-01-23,50
4,2020-01-24,53
4,2020-01-25,42
4,2020-01-26,38
4,2020-01-27,62
4,2020-01-28,51
4,2020-01-29,49
4,2020-01-30,52
4,2020-01-31,54
4,2020-02-01,43
4,2020-02-02,40
4,2020-02-03,65
4,2020-02-04,57
4,2020-02-05,53
4,2020-02-06,50
4,2020-02-07,56
4,2020-02-08,45
4,2020-02-09,39
4,2020-02-10,63
4,2020-02-11,60
4,2020-02-12,48
4,2020-02-13,59
4,2020-02-14,60
4,2020-02-15,46
4,2020-02-16,37
4,2020-02-17,67
4,2020-02-18,62
4,2020-02-19,58
4,2020-02-20,55
4,2020-02-21,60
4,2020-02-22,47
4,2020-02-23,47
4,2020-02-24,65
4,2020-02-25,68
4,2020-02-26,62
4,2020-02-27,66
4,2020-02-28,69
4,2020-02-29,57
4,2020-03-01,45
4,2020-03-02,73
4,2020-03-03,77
4,2020-03-04,67
4,2020-03-05,68
4,2020-03-06,66
4,2020-03-07,55
4,2020-03-08,48
4,2020-03-09,72
4,2020-03-10,68
4,2020-03-11,67
4,2020-03-12,66
4,2020-03-13,72
4,2020-03-14,59
4,2020-03-15,50
4,2020-03-16,90
4,2020-03-17,85
4,2020-03-18,80
4,2020-03-19,85
4,2020-03-20,93
4,2020-03-21,80
4,2020-03-22,69
4,2020-03-23,123
4,2020-03-24,109
4,2020-03-25,108
4,2020-03-26,126
4,2020-03-27,142
4,2020-03-28,98
4,2020-03-29,99
4,2020-03-30,153
4,2020-03-31,148
4,2020-04-01,138
4,2020-04-02,134
4,2020-04-03,138
4,2020-04-04,101
4,2020-04-05,112
4,2020-04-06,149
4,2020-04-07,143
4,2020-04-08,136
4,2020-04-09,142
4,2020-04-10,140
4,2020-04-11,108
4,2020-04-12,101
4,2020-04-13,158
4,2020-04-14,155
4,2020-04-15,125
4,2020-04-16,118
4,2020-04-17,136
4,2020-04-18,121
4,2020-04-19,96
4,2020-04-20,160
4,2020-04-21,137
4,2020-04-22,132
4,2020-04-23,140
4,2020-04-24,150
4,2020-04-25,109
4,2020-04-26,88
4,2020-04-27,151
4,2020-04-28,154
4,2020-04-29,138
4,2020-04-30,122
4,2020-05-01,155
4,2020-05-02,117
4,2020-05-03,102
4,2020-05-04,163
4,2020-05-05,155
4,2020-05-06,136
4,2020-05-07,132
4,2020-05-08,143
4,2020-05-09,110
4,2020-05-10,103
4,2020-05-11,164
4,2020-05-12,149
4,2020-05-13,115
4,2020-05-14,124
4,2020-05-15,145
4,2020-05-16,98
4,2020-05-17,89
4,2020-05-18,145
4,2020-05-19,133
4,2020-05-20,135
4,2020-05-21,127
4,2020-05-22,123
4,2020-05-23,103
4,2020-05-24,97
4,2020-05-25,154
4,2020-05-26,132
4,2020-05-27,112
4,2020-05-28,112
4,2020-05-29,125
4,2020-05-30,102
4,2020-05-31,91
4,2020-06-01,148
4,2020-06-02,113
4,2020-06-03,110
4,2020-06-04,114
4,2020-06-05,110
4,2020-06-06,93
4,2020-06-07,75
4,2020-06-08,131
4,2020-06-09,123
4,2020-06-10,106
4,2020-06-11,111
4,2020-06-12,114
4,2020-06-13,93
4,2020-06-14,76
4,2020-06-15,122
4,2020-06-16,99
4,2020-06-17,95
4,2020-06-18,98
4,2020-06-19,110
4,2020-06-20,72
4,2020-06-21,70
4,2020-06-22,107
4,2020-06-23,97
4,2020-06-24,98
4,2020-06-25,90
4,2020-06-26,105
4,2020-06-27,82
4,2020-06-28,69
4,2020-06-29,112
4,2020-06-30,102
4,2020-07-01,92
4,2020-07-02,85
4,2020-07-03,93
4,2020-07-04,72
4,2020-07-05,60
4,2020-07-06,105
4,2020-07-07,95
4,2020-07-08,77
4,2020-07-09,85
4,2020-07-10,90
4,2020-07-11,66
4,2020-07-12,60
4,2020-07-13,91
4,2020-07-14,90
4,2020-07-15,82
4,2020-07-16,72
4,2020-07-17,80
4,2020-07-18,62
4,2020-07-19,50
4,2020-07-20,81
4,2020-07-21,74
4,2020-07-22,64
4,2020-07-23,58
4,2020-07-24,62
4,2020-07-25,45
4,2020-07-26,39
4,2020-07-27,57
4,2020-07-28,51
4,2020-07-29,43
4,2020-07-30,44
4,2020-07-31,44
4,2020-08-01,33
4,2020-08-02,29
4,2020-08-03,47
4,2020-08-04,41
4,2020-08-05,39
4,2020-08-06,39
4,2020-08-07,42
4,2020-08-08,33
4,2020-08-09,28
4,2020-08-10,42
4,2020-08-11,41
4,2020-08-12,37
4,2020-08-13,38
4,2020-08-14,44
4,2020-08-15,31
4,2020-08-16,28
4,2020-08-17,44
4,2020-08-18,40
4,2020-08-19,38
4,2020-08-20,38
4,2020-08-21,41
4,2020-08-22,30
4,2020-08-23,28
4,2020-08-24,46
4,2020-08-25,40
4,2020-08-26,34
4,2020-08-27,39
4,2020-08-28,41
4,2020-08-29,33
4,2020-08-30,29
4,2020-08-31,45
4,2020-09-01,44
4,2020-09-02,37
4,2020-09-03,35
4,2020-09-04,37
4,2020-09-05,31
4,2020-09-06,29
4,2020-09-07,44
4,2020-09-08,44
4,2020-09-09,39
4,2020-09-10,39
4,2020-09-11,46
4,2020-09-12,36
4,2020-09-13,29
4,2020-09-14,53
4,2020-09-15,46
4,2020-09-16,40
4,2020-09-17,40
4,2020-09-18,45
4,2020-09-19,37
4,2020-09-20,31
4,2020-09-21,49
4,2020-09-22,47
4,2020-09-23,42
4,2020-09-24,44
4,2020-09-25,46
4,2020-09-26,35
4,2020-09-27,34
4,2020-09-28,50
4,2020-09-29,48
4,2020-09-30,47
4,2020-10-01,47
4,2020-10-02,48
4,2020-10-03,36
4,2020-10-04,32
4,2020-10-05,57
4,2020-10-06,52
4,2020-10-07,42
4,2020-10-08,45
4,2020-10-09,49
4,2020-10-10,38
4,2020-10-11,33
4,2020-10-12,58
4,2020-10-13,54
4,2020-10-14,45
4,2020-10-15,47
4,2020-10-16,51
4,2020-10-17,41
4,2020-10-18,30
4,2020-10-19,56
4,2020-10-20,51
4,2020-10-21,53
4,2020-10-22,64
4,2020-10-23,77
4,2020-10-24,69
4,2020-10-25,63
4,2020-10-26,96
4,2020-10-27,70
4,2020-10-28,65
4,2020-10-29,53
4,2020-10-30,53
4,2020-10-31,40
4,2020-11-01,35
4,2020-11-02,61
4,2020-11-03,52
4,2020-11-04,50
4,2020-11-05,51
4,2020-11-06,51
4,2020-11-07,41
4,2020-11-08,35
4,2020-11-09,55
4,2020-11-10,49
4,2020-11-11,42
4,2020-11-12,48
4,2020-11-13,53
4,2020-11-14,36
4,2020-11-15,35
