medicine_id,date,quantity_used
2,2020-01-01,74
2,2020-01-02,76
2,2020-01-03,73
2,2020-01-04,47
2,2020-01-05,64
2,2020-01-06,79
2,2020-01-07,79
2,2020-01-08,91
2,2020-01-09,89
2,2020-01-10,87
2,2020-01-11,53
2,2020-01-12,60
2,2020-01-13,98
2,2020-01-14,51
2,2020-01-15,69
2,2020-01-16,92
2,2020-01-17,53
2,2020-01-18,64
2,2020-01-19,62
2,2020-01-20,99
2,2020-01-21,45
2,2020-01-22,79
2,2020-01-23,41
2,2020-01-24,86
2,2020-01-25,55
2,2020-01-26,76
2,2020-01-27,100
2,2020-01-28,103
2,2020-01-29,77
2,2020-01-30,113
2,2020-01-31,66
2,2020-02-01,58
2,2020-02-02,54
2,2020-02-03,51
2,2020-02-04,72
2,2020-02-05,92
2,2020-02-06,108
2,2020-02-07,81
2,2020-02-08,60
2,2020-02-09,62
2,2020-02-10,101
2,2020-02-11,80
2,2020-02-12,89
2,2020-02-13,103
2,2020-02-14,77
2,2020-02-15,57
2,2020-02-16,75
2,2020-02-17,94
2,2020-02-18,89
2,2020-02-19,90
2,2020-02-20,79
2,2020-02-21,78
2,2020-02-22,54
2,2020-02-23,77
2,2020-02-24,62
2,2020-02-25,83
2,2020-02-26,88
2,2020-02-27,78
2,2020-02-28,93
2,2020-02-29,70
2,2020-03-01,86
2,2020-03-02,102
2,2020-03-03,64
2,2020-03-04,99
2,2020-03-05,84
2,2020-03-06,76
2,2020-03-07,78
2,2020-03-08,58
2,2020-03-09,95
2,2020-03-10,90
2,2020-03-11,133
2,2020-03-12,103
2,2020-03-13,112
2,2020-03-14,75
2,2020-03-15,347
2,2020-03-16,470
2,2020-03-17,240
2,2020-03-18,283
2,2020-03-19,312
2,2020-03-20,374
2,2020-03-21,256
2,2020-03-22,279
2,2020-03-23,209
2,2020-03-24,425
2,2020-03-25,358
2,2020-03-26,435
2,2020-03-27,313
2,2020-03-28,249
2,2020-03-29,289
2,2020-03-30,403
2,2020-03-31,396
2,2020-04-01,416
2,2020-04-02,380
2,2020-04-03,416
2,2020-04-04,324
2,2020-04-05,232
2,2020-04-06,234
2,2020-04-07,435
2,2020-04-08,260
2,2020-04-09,305
2,2020-04-10,388
2,2020-04-11,260
2,2020-04-12,310
2,2020-04-13,229
2,2020-04-14,319
2,2020-04-15,438
2,2020-04-16,458
2,2020-04-17,357
2,2020-04-18,380
2,2020-04-19,243
2,2020-04-20,485
2,2020-04-21,235
2,2020-04-22,460
2,2020-04-23,273
2,2020-04-24,220
2,2020-04-25,408
2,2020-04-26,354
2,2020-04-27,434
2,2020-04-28,680
2,2020-04-29,408
2,2020-04-30,391
2,2020-05-01,382
2,2020-05-02,344
2,2020-05-03,213
2,2020-05-04,145
2,2020-05-05,369
2,2020-05-06,376
2,2020-05-07,374
2,2020-05-08,292
2,2020-05-09,150
2,2020-05-10,332
2,2020-05-11,297
2,2020-05-12,391
2,2020-05-13,380
2,2020-05-14,329
2,2020-05-15,384
2,2020-05-16,246
2,2020-05-17,284
2,2020-05-18,253
2,2020-05-19,242
2,2020-05-20,334
2,2020-05-21,262
2,2020-05-22,230
2,2020-05-23,217
2,2020-05-24,281
2,2020-05-25,241
2,2020-05-26,297
2,2020-05-27,386
2,2020-05-28,234
2,2020-05-29,429
2,2020-05-30,188
2,2020-05-31,307
2,2020-06-01,328
2,2020-06-02,325
2,2020-06-03,242
2,2020-06-04,251
2,2020-06-05,228
2,2020-06-06,227
2,2020-06-07,237
2,2020-06-08,338
2,2020-06-09,268
2,2020-06-10,187
2,2020-06-11,239
2,2020-06-12,170
2,2020-06-13,284
2,2020-06-14,199
2,2020-06-15,260
2,2020-06-16,203
2,2020-06-17,277
2,2020-06-18,353
2,2020-06-19,274
2,2020-06-20,226
2,2020-06-21,198
2,2020-06-22,287
2,2020-06-23,289
2,2020-06-24,287
2,2020-06-25,353
2,2020-06-26,346
2,2020-06-27,274
2,2020-06-28,189
2,2020-06-29,368
2,2020-06-30,382
2,2020-07-01,242
2,2020-07-02,317
2,2020-07-03,300
2,2020-07-04,275
2,2020-07-05,246
2,2020-07-06,324
2,2020-07-07,436
2,2020-07-08,338
2,2020-07-09,455
2,2020-07-10,232
2,2020-07-11,309
2,2020-07-12,256
2,2020-07-13,338
2,2020-07-14,322
2,2020-07-15,351
2,2020-07-16,245
2,2020-07-17,301
2,2020-07-18,254
2,2020-07-19,233
2,2020-07-20,507
2,2020-07-21,297
2,2020-07-22,245
2,2020-07-23,167
2,2020-07-24,282
2,2020-07-25,235
2,2020-07-26,147
2,2020-07-27,243
2,2020-07-28,383
2,2020-07-29,416
2,2020-07-30,302
2,2020-07-31,300
2,2020-08-01,55
2,2020-08-02,62
2,2020-08-03,101
2,2020-08-04,79
2,2020-08-05,70
2,2020-08-06,99
2,2020-08-07,92
2,2020-08-08,77
2,2020-08-09,37
2,2020-08-10,62
2,2020-08-11,99
2,2020-08-12,77
2,2020-08-13,108
2,2020-08-14,86
2,2020-08-15,67
2,2020-08-16,69
2,2020-08-17,75
2,2020-08-18,97
2,2020-08-19,102
2,2020-08-20,60
2,2020-08-21,57
2,2020-08-22,70
2,2020-08-23,54
2,2020-08-24,98
2,2020-08-25,102
2,2020-08-26,91
2,2020-08-27,90
2,2020-08-28,93
2,2020-08-29,66
2,2020-08-30,61
2,2020-08-31,102
2,2020-09-01,74
2,2020-09-02,67
2,2020-09-03,77
2,2020-09-04,84
2,2020-09-05,88
2,2020-09-06,76
2,2020-09-07,96
2,2020-09-08,91
2,2020-09-09,59
2,2020-09-10,101
2,2020-09-11,91
2,2020-09-12,61
2,2020-09-13,60
2,2020-09-14,87
2,2020-09-15,117
2,2020-09-16,109
2,2020-09-17,115
2,2020-09-18,58
2,2020-09-19,71
2,2020-09-20,103
2,2020-09-21,92
2,2020-09-22,92
2,2020-09-23,65
2,2020-09-24,87
2,2020-09-25,139
2,2020-09-26,83
2,2020-09-27,86
2,2020-09-28,109
2,2020-09-29,104
2,2020-09-30,115
2,2020-10-01,109
2,2020-10-02,107
2,2020-10-03,50
2,2020-10-04,54
2,2020-10-05,105
2,2020-10-06,110
2,2020-10-07,104
2,2020-10-08,97
2,2020-10-09,84
2,2020-10-10,73
2,2020-10-11,56
2,2020-10-12,99
2,2020-10-13,79
2,2020-10-14,94
2,2020-10-15,84
2,2020-10-16,104
2,2020-10-17,82
2,2020-10-18,77
2,2020-10-19,93
2,2020-10-20,75
2,2020-10-21,91
2,2020-10-22,111
2,2020-10-23,166
2,2020-10-24,95
2,2020-10-25,124
2,2020-10-26,203
2,2020-10-27,138
2,2020-10-28,197
2,2020-10-29,63
2,2020-10-30,101
2,2020-10-31,90
2,2020-11-01,66
2,2020-11-02,110
2,2020-11-03,70
