medicine_id,date,quantity_used
5,2020-01-01,18
5,2020-01-02,25
5,2020-01-03,21
5,2020-01-04,32
5,2020-01-05,20
5,2020-01-06,34
5,2020-01-07,25
5,2020-01-08,26
5,2020-01-09,32
5,2020-01-10,31
5,2020-01-11,20
5,2020-01-12,24
5,2020-01-13,31
5,2020-01-14,19
5,2020-01-15,41
5,2020-01-16,35
5,2020-01-17,22
5,2020-01-18,24
5,2020-01-19,24
5,2020-01-20,28
5,2020-01-21,27
5,2020-01-22,31
5,2020-01-23,32
5,2020-01-24,27
5,2020-01-25,23
5,2020-01-26,26
5,2020-01-27,29
5,2020-01-28,35
5,2020-01-29,33
5,2020-01-30,20
5,2020-01-31,29
5,2020-02-01,17
5,2020-02-02,25
5,2020-02-03,29
5,2020-02-04,32
5,2020-02-05,37
5,2020-02-06,33
5,2020-02-07,25
5,2020-02-08,26
5,2020-02-09,25
5,2020-02-10,40
5,2020-02-11,33
5,2020-02-12,24
5,2020-02-13,23
5,2020-02-14,23
5,2020-02-15,14
5,2020-02-16,29
5,2020-02-17,26
5,2020-02-18,34
5,2020-02-19,43
5,2020-02-20,24
5,2020-02-21,26
5,2020-02-22,16
5,2020-02-23,27
5,2020-02-24,33
5,2020-02-25,28
5,2020-02-26,39
5,2020-02-27,36
5,2020-02-28,36
5,2020-02-29,28
5,2020-03-01,39
5,2020-03-02,41
5,2020-03-03,31
5,2020-03-04,38
5,2020-03-05,40
5,2020-03-06,32
5,2020-03-07,34
5,2020-03-08,32
5,2020-03-09,27
5,2020-03-10,29
5,2020-03-11,40
5,2020-03-12,34
5,2020-03-13,35
5,2020-03-14,29
5,2020-03-15,108
5,2020-03-16,140
5,2020-03-17,122
5,2020-03-18,115
5,2020-03-19,144
5,2020-03-20,124
5,2020-03-21,74
5,2020-03-22,110
5,2020-03-23,169
5,2020-03-24,145
5,2020-03-25,151
5,2020-03-26,160
5,2020-03-27,111
5,2020-03-28,137
5,2020-03-29,107
5,2020-03-30,186
5,2020-03-31,159
5,2020-04-01,154
5,2020-04-02,149
5,2020-04-03,107
5,2020-04-04,100
5,2020-04-05,105
5,2020-04-06,168
5,2020-04-07,107
5,2020-04-08,123
5,2020-04-09,139
5,2020-04-10,140
5,2020-04-11,131
5,2020-04-12,134
5,2020-04-13,134
5,2020-04-14,154
5,2020-04-15,109
5,2020-04-16,150
5,2020-04-17,142
5,2020-04-18,110
5,2020-04-19,99
5,2020-04-20,161
5,2020-04-21,147
5,2020-04-22,158
5,2020-04-23,148
5,2020-04-24,131
5,2020-04-25,87
5,2020-04-26,114
5,2020-04-27,153
5,2020-04-28,127
5,2020-04-29,159
5,2020-04-30,165
5,2020-05-01,102
5,2020-05-02,107
5,2020-05-03,106
5,2020-05-04,102
5,2020-05-05,123
5,2020-05-06,74
5,2020-05-07,93
5,2020-05-08,128
5,2020-05-09,97
5,2020-05-10,122
5,2020-05-11,122
5,2020-05-12,104
5,2020-05-13,101
5,2020-05-14,119
5,2020-05-15,118
5,2020-05-16,61
5,2020-05-17,123
5,2020-05-18,98
5,2020-05-19,111
5,2020-05-20,143
5,2020-05-21,122
5,2020-05-22,113
5,2020-05-23,95
5,2020-05-24,89
5,2020-05-25,106
5,2020-05-26,118
5,2020-05-27,135
5,2020-05-28,147
5,2020-05-29,113
5,2020-05-30,79
5,2020-05-31,103
5,2020-06-01,104
5,2020-06-02,118
5,2020-06-03,73
5,2020-06-04,81
5,2020-06-05,140
5,2020-06-06,75
5,2020-06-07,77
5,2020-06-08,88
5,2020-06-09,101
5,2020-06-10,93
5,2020-06-11,129
5,2020-06-12,103
5,2020-06-13,100
5,2020-06-14,78
5,2020-06-15,85
5,2020-06-16,57
5,2020-06-17,113
5,2020-06-18,99
5,2020-06-19,131
5,2020-06-20,102
5,2020-06-21,85
5,2020-06-22,96
5,2020-06-23,83
5,2020-06-24,92
5,2020-06-25,133
5,2020-06-26,104
5,2020-06-27,101
5,2020-06-28,107
5,2020-06-29,119
5,2020-06-30,105
5,2020-07-01,133
5,2020-07-02,142
5,2020-07-03,106
5,2020-07-04,100
5,2020-07-05,127
5,2020-07-06,100
5,2020-07-07,109
5,2020-07-08,113
5,2020-07-09,112
5,2020-07-10,140
5,2020-07-11,94
5,2020-07-12,65
5,2020-07-13,108
5,2020-07-14,85
5,2020-07-15,82
5,2020-07-16,94
5,2020-07-17,87
5,2020-07-18,86
5,2020-07-19,76
5,2020-07-20,107
5,2020-07-21,112
5,2020-07-22,97
5,2020-07-23,139
5,2020-07-24,100
5,2020-07-25,43
5,2020-07-26,126
5,2020-07-27,109
5,2020-07-28,98
5,2020-07-29,110
5,2020-07-30,134
5,2020-07-31,112
5,2020-08-01,27
5,2020-08-02,29
5,2020-08-03,27
5,2020-08-04,37
5,2020-08-05,28
5,2020-08-06,40
5,2020-08-07,31
5,2020-08-08,22
5,2020-08-09,21
5,2020-08-10,33
5,2020-08-11,31
5,2020-08-12,36
5,2020-08-13,20
5,2020-08-14,39
5,2020-08-15,22
5,2020-08-16,33
5,2020-08-17,40
5,2020-08-18,31
5,2020-08-19,33
5,2020-08-20,30
5,2020-08-21,26
5,2020-08-22,36
5,2020-08-23,22
5,2020-08-24,31
5,2020-08-25,36
5,2020-08-26,35
5,2020-08-27,19
5,2020-08-28,28
5,2020-08-29,22
5,2020-08-30,24
5,2020-08-31,34
5,2020-09-01,44
5,2020-09-02,24
5,2020-09-03,30
5,2020-09-04,31
5,2020-09-05,36
5,2020-09-06,35
5,2020-09-07,32
5,2020-09-08,34
5,2020-09-09,45
5,2020-09-10,39
5,2020-09-11,45
5,2020-09-12,31
5,2020-09-13,26
5,2020-09-14,42
5,2020-09-15,41
5,2020-09-16,29
5,2020-09-17,28
5,2020-09-18,41
5,2020-09-19,33
5,2020-09-20,28
5,2020-09-21,40
5,2020-09-22,31
5,2020-09-23,27
5,2020-09-24,32
5,2020-09-25,33
5,2020-09-26,26
5,2020-09-27,27
5,2020-09-28,41
5,2020-09-29,40
5,2020-09-30,39
5,2020-10-01,48
5,2020-10-02,30
5,2020-10-03,29
5,2020-10-04,25
5,2020-10-05,38
5,2020-10-06,34
5,2020-10-07,39
5,2020-10-08,38
5,2020-10-09,30
5,2020-10-10,32
5,2020-10-11,32
5,2020-10-12,32
5,2020-10-13,39
5,2020-10-14,44
5,2020-10-15,45
5,2020-10-16,31
5,2020-10-17,24
5,2020-10-18,31
5,2020-10-19,36
5,2020-10-20,34
5,2020-10-21,37
5,2020-10-22,52
5,2020-10-23,37
5,2020-10-24,46
5,2020-10-25,50
5,2020-10-26,57
5,2020-10-27,52
5,2020-10-28,59
5,2020-10-29,36
5,2020-10-30,45
5,2020-10-31,21
5,2020-11-01,23
5,2020-11-02,23
5,2020-11-03,26
5,2020-11-04,33
5,2020-11-05,25
5,2020-11-06,32
5,2020-11-07,21
5,2020-11-08,20
5,2020-11-09,21
5,2020-11-10,39
5,2020-11-11,31
5,2020-11-12,41
5,2020-11-13,26
5,2020-11-14,30
5,2020-11-15,13
5,2020-11-16,45
5,2020-11-17,35
5,2020-11-18,33
5,2020-11-19,23
5,2020-11-20,30
5,2020-11-21,20
5,2020-11-22,22
5,2020-11-23,25
5,2020-11-24,32
5,2020-11-25,39
5,2020-11-26,39
5,2020-11-27,32
5,2020-11-28,30
5,2020-11-29,25
5,2020-11-30,36
5,2020-12-01,27
5,2020-12-02,38
5,2020-12-03,31
5,2020-12-04,44
5,2020-12-05,26
5,2020-12-06,24
5,2020-12-07,28
5,2020-12-08,33
5,2020-12-09,39
5,2020-12-10,41
5,2020-12-11,37
5,2020-12-12,23
5,2020-12-13,25
5,2020-12-14,26
5,2020-12-15,37
5,2020-12-16,34
5,2020-12-17,32
5,2020-12-18,40
5,2020-12-19,9
5,2020-12-20,31
5,2020-12-21,36
5,2020-12-22,41
5,2020-12-23,15
5,2020-12-24,32
5,2020-12-25,31
5,2020-12-26,25
5,2020-12-27,24
5,2020-12-28,37
5,2020-12-29,29
5,2020-12-30,27
5,2020-12-31,44
5,2021-01-01,25
5,2021-01-02,26
5,2021-01-03,30
5,2021-01-04,38
5,2021-01-05,23
5,2021-01-06,48
5,2021-01-07,42
5,2021-01-08,39
5,2021-01-09,25
5,2021-01-10,18
5,2021-01-11,36
5,2021-01-12,18
5,2021-01-13,30
5,2021-01-14,23
5,2021-01-15,25
5,2021-01-16,27
5,2021-01-17,26
5,2021-01-18,27
5,2021-01-19,40
5,2021-01-20,47
5,2021-01-21,34
5,2021-01-22,37
5,2021-01-23,35
5,2021-01-24,32
5,2021-01-25,48
5,2021-01-26,30
5,2021-01-27,31
5,2021-01-28,31
5,2021-01-29,30
5,2021-01-30,22
5,2021-01-31,26
5,2021-02-01,33
5,2021-02-02,30
5,2021-02-03,31
5,2021-02-04,29
5,2021-02-05,38
5,2021-02-06,29
5,2021-02-07,29
5,2021-02-08,31
5,2021-02-09,33
5,2021-02-10,39
5,2021-02-11,30
5,2021-02-12,39
5,2021-02-13,27
5,2021-02-14,27
5,2021-02-15,26
5,2021-02-16,33
5,2021-02-17,36
5,2021-02-18,33
5,2021-02-19,33
5,2021-02-20,25
5,2021-02-21,28
5,2021-02-22,26
5,2021-02-23,37
5,2021-02-24,27
5,2021-02-25,27
5,2021-02-26,25
5,2021-02-27,19
5,2021-02-28,27
5,2021-03-01,24
5,2021-03-02,35
5,2021-03-03,36
5,2021-03-04,38
5,2021-03-05,40
5,2021-03-06,30
5,2021-03-07,31
5,2021-03-08,26
5,2021-03-09,48
5,2021-03-10,48
5,2021-03-11,21
5,2021-03-12,35
5,2021-03-13,25
5,2021-03-14,32
5,2021-03-15,37
5,2021-03-16,26
5,2021-03-17,32
5,2021-03-18,37
5,2021-03-19,27
5,2021-03-20,27
5,2021-03-21,33
5,2021-03-22,35
5,2021-03-23,27
5,2021-03-24,41
5,2021-03-25,45
5,2021-03-26,34
5,2021-03-27,34
5,2021-03-28,22
5,2021-03-29,35
5,2021-03-30,44
5,2021-03-31,40
5,2021-04-01,97
5,2021-04-02,74
5,2021-04-03,113
5,2021-04-04,109
5,2021-04-05,98
5,2021-04-06,117
5,2021-04-07,106
5,2021-04-08,161
5,2021-04-09,109
5,2021-04-10,64
5,2021-04-11,107
5,2021-04-12,120
5,2021-04-13,102
5,2021-04-14,124
5,2021-04-15,141
5,2021-04-16,143
5,2021-04-17,107
5,2021-04-18,118
5,2021-04-19,115
5,2021-04-20,145
5,2021-04-21,195
5,2021-04-22,114
5,2021-04-23,139
5,2021-04-24,120
5,2021-04-25,112
5,2021-04-26,85
5,2021-04-27,126
5,2021-04-28,104
5,2021-04-29,171
5,2021-04-30,82
5,2021-05-01,122
5,2021-05-02,84
5,2021-05-03,112
5,2021-05-04,106
5,2021-05-05,74
5,2021-05-06,143
5,2021-05-07,106
5,2021-05-08,94
5,2021-05-09,50
5,2021-05-10,156
5,2021-05-11,149
5,2021-05-12,128
5,2021-05-13,165
5,2021-05-14,82
5,2021-05-15,114
5,2021-05-16,80
5,2021-05-17,126
5,2021-05-18,122
5,2021-05-19,149
5,2021-05-20,124
5,2021-05-21,107
5,2021-05-22,65
5,2021-05-23,61
5,2021-05-24,68
5,2021-05-25,108
5,2021-05-26,99
