medicine_id,ds,y
3,2020-01-01,44
3,2020-01-02,48
3,2020-01-03,48
3,2020-01-04,50
3,2020-01-05,34
3,2020-01-06,48
3,2020-01-07,50
3,2020-01-08,46
3,2020-01-09,46
3,2020-01-10,43
3,2020-01-11,46
3,2020-01-12,42
3,2020-01-13,54
3,2020-01-14,43
3,2020-01-15,52
3,2020-01-16,53
3,2020-01-17,51
3,2020-01-18,39
3,2020-01-19,42
3,2020-01-20,50
3,2020-01-21,52
3,2020-01-22,50
3,2020-01-23,48
3,2020-01-24,39
3,2020-01-25,42
3,2020-01-26,46
3,2020-01-27,47
3,2020-01-28,48
3,2020-01-29,50
3,2020-01-30,46
3,2020-01-31,64
3,2020-02-01,44
3,2020-02-02,38
3,2020-02-03,60
3,2020-02-04,60
3,2020-02-05,52
3,2020-02-06,50
3,2020-02-07,44
3,2020-02-08,49
3,2020-02-09,37
3,2020-02-10,43
3,2020-02-11,52
3,2020-02-12,49
3,2020-02-13,49
3,2020-02-14,49
3,2020-02-15,48
3,2020-02-16,39
3,2020-02-17,50
3,2020-02-18,54
3,2020-02-19,47
3,2020-02-20,56
3,2020-02-21,45
3,2020-02-22,51
3,2020-02-23,42
3,2020-02-24,51
3,2020-02-25,53
3,2020-02-26,44
3,2020-02-27,52
3,2020-02-28,50
3,2020-02-29,41
3,2020-03-01,54
3,2020-03-02,61
3,2020-03-03,53
3,2020-03-04,58
3,2020-03-05,48
3,2020-03-06,42
3,2020-03-07,44
3,2020-03-08,42
3,2020-03-09,53
3,2020-03-10,58
3,2020-03-11,47
3,2020-03-12,67
3,2020-03-13,49
3,2020-03-14,53
3,2020-03-15,55
3,2020-03-16,53
3,2020-03-17,53
3,2020-03-18,52
3,2020-03-19,51
3,2020-03-20,65
3,2020-03-21,54
3,2020-03-22,59
3,2020-03-23,58
3,2020-03-24,61
3,2020-03-25,60
3,2020-03-26,46
3,2020-03-27,50
3,2020-03-28,50
3,2020-03-29,48
3,2020-03-30,56
3,2020-03-31,53
3,2020-04-01,59
3,2020-04-02,53
3,2020-04-03,50
3,2020-04-04,42
3,2020-04-05,46
3,2020-04-06,58
3,2020-04-07,59
3,2020-04-08,61
3,2020-04-09,53
3,2020-04-10,50
3,2020-04-11,49
3,2020-04-12,47
3,2020-04-13,54
3,2020-04-14,53
3,2020-04-15,62
3,2020-04-16,66
3,2020-04-17,55
3,2020-04-18,42
3,2020-04-19,46
3,2020-04-20,51
3,2020-04-21,58
3,2020-04-22,49
3,2020-04-23,58
3,2020-04-24,58
3,2020-04-25,41
3,2020-04-26,54
3,2020-04-27,50
3,2020-04-28,46
3,2020-04-29,62
3,2020-04-30,56
3,2020-05-01,129
3,2020-05-02,91
3,2020-05-03,106
3,2020-05-04,99
3,2020-05-05,122
3,2020-05-06,114
3,2020-05-07,120
3,2020-05-08,134
3,2020-05-09,120
3,2020-05-10,108
3,2020-05-11,128
3,2020-05-12,162
3,2020-05-13,115
3,2020-05-14,146
3,2020-05-15,140
3,2020-05-16,96
3,2020-05-17,101
3,2020-05-18,112
3,2020-05-19,111
3,2020-05-20,109
