medicine_id,ds,y
2,2020-01-01,65
2,2020-01-02,73
2,2020-01-03,75
2,2020-01-04,59
2,2020-01-05,50
2,2020-01-06,84
2,2020-01-07,72
2,2020-01-08,72
2,2020-01-09,69
2,2020-01-10,79
2,2020-01-11,60
2,2020-01-12,49
2,2020-01-13,90
2,2020-01-14,85
2,2020-01-15,71
2,2020-01-16,71
2,2020-01-17,81
2,2020-01-18,56
2,2020-01-19,53
2,2020-01-20,86
2,2020-01-21,84
2,2020-01-22,71
2,2020-01-23,71
2,2020-01-24,75
2,2020-01-25,64
2,2020-01-26,53
2,2020-01-27,87
2,2020-01-28,82
2,2020-01-29,76
2,2020-01-30,76
2,2020-01-31,92
2,2020-02-01,61
2,2020-02-02,56
2,2020-02-03,94
2,2020-02-04,77
2,2020-02-05,70
2,2020-02-06,67
2,2020-02-07,84
2,2020-02-08,64
2,2020-02-09,53
2,2020-02-10,94
2,2020-02-11,76
2,2020-02-12,72
2,2020-02-13,70
2,2020-02-14,84
2,2020-02-15,69
2,2020-02-16,60
2,2020-02-17,91
2,2020-02-18,85
2,2020-02-19,82
2,2020-02-20,72
2,2020-02-21,80
2,2020-02-22,73
2,2020-02-23,54
2,2020-02-24,90
2,2020-02-25,83
2,2020-02-26,81
2,2020-02-27,74
2,2020-02-28,78
2,2020-02-29,64
2,2020-03-01,61
2,2020-03-02,91
2,2020-03-03,89
2,2020-03-04,69
2,2020-03-05,82
2,2020-03-06,81
2,2020-03-07,64
2,2020-03-08,59
2,2020-03-09,92
2,2020-03-10,91
2,2020-03-11,79
2,2020-03-12,84
2,2020-03-13,84
2,2020-03-14,66
2,2020-03-15,61
2,2020-03-16,100
2,2020-03-17,89
2,2020-03-18,83
2,2020-03-19,81
2,2020-03-20,89
2,2020-03-21,71
2,2020-03-22,63
2,2020-03-23,99
2,2020-03-24,91
2,2020-03-25,76
2,2020-03-26,82
2,2020-03-27,99
2,2020-03-28,76
2,2020-03-29,63
2,2020-03-30,101
2,2020-03-31,94
2,2020-04-01,85
2,2020-04-02,83
2,2020-04-03,93
2,2020-04-04,76
2,2020-04-05,69
2,2020-04-06,105
2,2020-04-07,89
2,2020-04-08,86
2,2020-04-09,84
2,2020-04-10,99
2,2020-04-11,69
2,2020-04-12,66
2,2020-04-13,95
2,2020-04-14,92
2,2020-04-15,87
2,2020-04-16,77
2,2020-04-17,87
2,2020-04-18,70
2,2020-04-19,63
2,2020-04-20,105
2,2020-04-21,97
2,2020-04-22,89
2,2020-04-23,77
2,2020-04-24,88
2,2020-04-25,68
2,2020-04-26,65
2,2020-04-27,107
2,2020-04-28,87
2,2020-04-29,84
2,2020-04-30,83
2,2020-05-01,93
2,2020-05-02,78
2,2020-05-03,68
2,2020-05-04,146
2,2020-05-05,139
2,2020-05-06,107
2,2020-05-07,125
2,2020-05-08,145
2,2020-05-09,116
2,2020-05-10,105
2,2020-05-11,176
2,2020-05-12,174
2,2020-05-13,164
2,2020-05-14,174
2,2020-05-15,183
2,2020-05-16,145
2,2020-05-17,133
2,2020-05-18,213
2,2020-05-19,205
2,2020-05-20,187
2,2020-05-21,175
2,2020-05-22,197
2,2020-05-23,132
2,2020-05-24,141
2,2020-05-25,213
2,2020-05-26,200
2,2020-05-27,174
2,2020-05-28,167
2,2020-05-29,196
2,2020-05-30,133
2,2020-05-31,119
2,2020-06-01,206
2,2020-06-02,218
2,2020-06-03,191
2,2020-06-04,179
2,2020-06-05,188
2,2020-06-06,150
2,2020-06-07,128
2,2020-06-08,200
2,2020-06-09,174
2,2020-06-10,180
2,2020-06-11,164
2,2020-06-12,209
2,2020-06-13,159
2,2020-06-14,142
2,2020-06-15,230
2,2020-06-16,198
2,2020-06-17,169
2,2020-06-18,157
2,2020-06-19,201
2,2020-06-20,136
2,2020-06-21,126
2,2020-06-22,209
2,2020-06-23,192
2,2020-06-24,169
2,2020-06-25,173
2,2020-06-26,187
2,2020-06-27,127
2,2020-06-28,129
2,2020-06-29,208
2,2020-06-30,176
2,2020-07-01,177
2,2020-07-02,177
2,2020-07-03,187
2,2020-07-04,153
2,2020-07-05,134
2,2020-07-06,208
2,2020-07-07,199
2,2020-07-08,168
2,2020-07-09,164
2,2020-07-10,184
2,2020-07-11,154
2,2020-07-12,132
2,2020-07-13,196
2,2020-07-14,181
2,2020-07-15,157
2,2020-07-16,148
2,2020-07-17,185
2,2020-07-18,148
2,2020-07-19,126
2,2020-07-20,182
2,2020-07-21,181
2,2020-07-22,174
2,2020-07-23,157
2,2020-07-24,181
2,2020-07-25,131
2,2020-07-26,116
2,2020-07-27,207
2,2020-07-28,177
2,2020-07-29,158
2,2020-07-30,164
2,2020-07-31,185
2,2020-08-01,129
2,2020-08-02,111
2,2020-08-03,182
2,2020-08-04,170
2,2020-08-05,142
2,2020-08-06,150
2,2020-08-07,170
2,2020-08-08,134
2,2020-08-09,116
2,2020-08-10,197
2,2020-08-11,173
2,2020-08-12,153
2,2020-08-13,149
2,2020-08-14,155
2,2020-08-15,138
2,2020-08-16,121
2,2020-08-17,182
2,2020-08-18,173
2,2020-08-19,149
2,2020-08-20,158
2,2020-08-21,176
2,2020-08-22,123
2,2020-08-23,113
2,2020-08-24,167
2,2020-08-25,159
2,2020-08-26,131
2,2020-08-27,136
2,2020-08-28,161
2,2020-08-29,123
2,2020-08-30,107
2,2020-08-31,185
2,2020-09-01,158
2,2020-09-02,143
2,2020-09-03,142
2,2020-09-04,160
2,2020-09-05,126
2,2020-09-06,104
2,2020-09-07,171
2,2020-09-08,162
2,2020-09-09,139
2,2020-09-10,135
2,2020-09-11,159
2,2020-09-12,126
2,2020-09-13,97
2,2020-09-14,165
2,2020-09-15,155
2,2020-09-16,142
2,2020-09-17,139
2,2020-09-18,147
2,2020-09-19,112
2,2020-09-20,92
2,2020-09-21,130
2,2020-09-22,124
2,2020-09-23,103
2,2020-09-24,94
2,2020-09-25,100
2,2020-09-26,80
2,2020-09-27,77
2,2020-09-28,100
2,2020-09-29,84
2,2020-09-30,71
2,2020-10-01,66
2,2020-10-02,79
2,2020-10-03,59
2,2020-10-04,50
2,2020-10-05,76
2,2020-10-06,78
2,2020-10-07,64
2,2020-10-08,70
2,2020-10-09,73
2,2020-10-10,56
2,2020-10-11,47
2,2020-10-12,81
2,2020-10-13,73
2,2020-10-14,68
2,2020-10-15,64
2,2020-10-16,70
2,2020-10-17,52
2,2020-10-18,47
2,2020-10-19,89
2,2020-10-20,81
2,2020-10-21,74
2,2020-10-22,84
2,2020-10-23,91
2,2020-10-24,69
2,2020-10-25,57
2,2020-10-26,87
2,2020-10-27,77
2,2020-10-28,64
2,2020-10-29,72
2,2020-10-30,72
2,2020-10-31,56
2,2020-11-01,50
2,2020-11-02,83
2,2020-11-03,74
2,2020-11-04,65
2,2020-11-05,62
2,2020-11-06,75
2,2020-11-07,54
2,2020-11-08,47
2,2020-11-09,79
2,2020-11-10,73
