medicine_id,ds,y
4,2020-01-01,46
4,2020-01-02,47
4,2020-01-03,48
4,2020-01-04,38
4,2020-01-05,38
4,2020-01-06,54
4,2020-01-07,52
4,2020-01-08,47
4,2020-01-09,44
4,2020-01-10,53
4,2020-01-11,38
4,2020-01-12,33
4,2020-01-13,57
4,2020-01-14,47
4,2020-01-15,45
4,2020-01-16,49
4,2020-01-17,53
4,2020-01-18,38
4,2020-01-19,33
4,2020-01-20,57
4,2020-01-21,53
4,2020-01-22,50
4,2020-01-23,41
4,2020-01-24,49
4,2020-01-25,35
4,2020-01-26,36
4,2020-01-27,56
4,2020-01-28,55
4,2020-01-29,45
4,2020-01-30,44
4,2020-01-31,50
4,2020-02-01,39
4,2020-02-02,36
4,2020-02-03,59
4,2020-02-04,50
4,2020-02-05,47
4,2020-02-06,49
4,2020-02-07,50
4,2020-02-08,41
4,2020-02-09,36
4,2020-02-10,53
4,2020-02-11,50
4,2020-02-12,48
4,2020-02-13,49
4,2020-02-14,52
4,2020-02-15,40
4,2020-02-16,33
4,2020-02-17,58
4,2020-02-18,52
4,2020-02-19,47
4,2020-02-20,49
4,2020-02-21,54
4,2020-02-22,39
4,2020-02-23,38
4,2020-02-24,61
4,2020-02-25,56
4,2020-02-26,54
4,2020-02-27,49
4,2020-02-28,52
4,2020-02-29,48
4,2020-03-01,34
4,2020-03-02,56
4,2020-03-03,59
4,2020-03-04,48
4,2020-03-05,53
4,2020-03-06,59
4,2020-03-07,42
4,2020-03-08,39
4,2020-03-09,60
4,2020-03-10,52
4,2020-03-11,51
4,2020-03-12,50
4,2020-03-13,58
4,2020-03-14,46
4,2020-03-15,39
4,2020-03-16,59
4,2020-03-17,54
4,2020-03-18,51
4,2020-03-19,57
4,2020-03-20,59
4,2020-03-21,45
4,2020-03-22,40
4,2020-03-23,63
4,2020-03-24,56
4,2020-03-25,48
4,2020-03-26,55
4,2020-03-27,61
4,2020-03-28,42
4,2020-03-29,42
4,2020-03-30,64
4,2020-03-31,58
4,2020-04-01,55
4,2020-04-02,56
4,2020-04-03,60
4,2020-04-04,45
4,2020-04-05,44
4,2020-04-06,67
4,2020-04-07,68
4,2020-04-08,55
4,2020-04-09,62
4,2020-04-10,59
4,2020-04-11,46
4,2020-04-12,41
4,2020-04-13,70
4,2020-04-14,60
4,2020-04-15,58
4,2020-04-16,59
4,2020-04-17,60
4,2020-04-18,51
4,2020-04-19,43
4,2020-04-20,67
4,2020-04-21,66
4,2020-04-22,54
4,2020-04-23,58
4,2020-04-24,64
4,2020-04-25,52
4,2020-04-26,44
4,2020-04-27,73
4,2020-04-28,71
4,2020-04-29,60
4,2020-04-30,63
4,2020-05-01,63
4,2020-05-02,55
4,2020-05-03,53
4,2020-05-04,81
4,2020-05-05,86
4,2020-05-06,80
4,2020-05-07,82
4,2020-05-08,96
4,2020-05-09,90
4,2020-05-10,81
4,2020-05-11,125
4,2020-05-12,112
4,2020-05-13,113
4,2020-05-14,114
4,2020-05-15,146
4,2020-05-16,103
4,2020-05-17,95
4,2020-05-18,150
4,2020-05-19,136
4,2020-05-20,105
4,2020-05-21,121
4,2020-05-22,148
4,2020-05-23,101
4,2020-05-24,93
4,2020-05-25,148
4,2020-05-26,141
4,2020-05-27,129
4,2020-05-28,114
4,2020-05-29,148
4,2020-05-30,111
4,2020-05-31,87
4,2020-06-01,142
4,2020-06-02,129
4,2020-06-03,122
4,2020-06-04,126
4,2020-06-05,144
4,2020-06-06,108
4,2020-06-07,94
4,2020-06-08,167
4,2020-06-09,141
4,2020-06-10,121
4,2020-06-11,133
4,2020-06-12,156
4,2020-06-13,106
4,2020-06-14,96
4,2020-06-15,150
4,2020-06-16,135
4,2020-06-17,114
4,2020-06-18,142
4,2020-06-19,154
4,2020-06-20,121
4,2020-06-21,105
4,2020-06-22,164
4,2020-06-23,132
4,2020-06-24,141
4,2020-06-25,144
4,2020-06-26,166
4,2020-06-27,104
4,2020-06-28,107
4,2020-06-29,152
4,2020-06-30,139
4,2020-07-01,147
4,2020-07-02,144
4,2020-07-03,156
4,2020-07-04,116
4,2020-07-05,110
4,2020-07-06,154
4,2020-07-07,157
4,2020-07-08,138
4,2020-07-09,129
4,2020-07-10,154
4,2020-07-11,121
4,2020-07-12,106
4,2020-07-13,173
4,2020-07-14,147
4,2020-07-15,119
4,2020-07-16,131
4,2020-07-17,141
4,2020-07-18,106
4,2020-07-19,88
