medicine_id,ds,y
5,2020-01-01,37
5,2020-01-02,37
5,2020-01-03,35
5,2020-01-04,38
5,2020-01-05,25
5,2020-01-06,37
5,2020-01-07,32
5,2020-01-08,34
5,2020-01-09,34
5,2020-01-10,27
5,2020-01-11,33
5,2020-01-12,31
5,2020-01-13,35
5,2020-01-14,35
5,2020-01-15,34
5,2020-01-16,36
5,2020-01-17,37
5,2020-01-18,34
5,2020-01-19,32
5,2020-01-20,33
5,2020-01-21,33
5,2020-01-22,38
5,2020-01-23,33
5,2020-01-24,32
5,2020-01-25,27
5,2020-01-26,31
5,2020-01-27,34
5,2020-01-28,33
5,2020-01-29,28
5,2020-01-30,35
5,2020-01-31,35
5,2020-02-01,35
5,2020-02-02,27
5,2020-02-03,36
5,2020-02-04,33
5,2020-02-05,29
5,2020-02-06,33
5,2020-02-07,39
5,2020-02-08,30
5,2020-02-09,36
5,2020-02-10,32
5,2020-02-11,32
5,2020-02-12,30
5,2020-02-13,35
5,2020-02-14,34
5,2020-02-15,37
5,2020-02-16,33
5,2020-02-17,37
5,2020-02-18,32
5,2020-02-19,31
5,2020-02-20,29
5,2020-02-21,38
5,2020-02-22,29
5,2020-02-23,28
5,2020-02-24,32
5,2020-02-25,30
5,2020-02-26,34
5,2020-02-27,34
5,2020-02-28,47
5,2020-02-29,31
5,2020-03-01,31
5,2020-03-02,31
5,2020-03-03,35
5,2020-03-04,35
5,2020-03-05,36
5,2020-03-06,34
5,2020-03-07,35
5,2020-03-08,35
5,2020-03-09,39
5,2020-03-10,42
5,2020-03-11,32
5,2020-03-12,31
5,2020-03-13,29
5,2020-03-14,43
5,2020-03-15,38
5,2020-03-16,37
5,2020-03-17,44
5,2020-03-18,38
5,2020-03-19,41
5,2020-03-20,37
5,2020-03-21,34
5,2020-03-22,30
5,2020-03-23,34
5,2020-03-24,37
5,2020-03-25,38
5,2020-03-26,38
5,2020-03-27,40
5,2020-03-28,31
5,2020-03-29,36
5,2020-03-30,43
5,2020-03-31,35
5,2020-04-01,39
5,2020-04-02,34
5,2020-04-03,41
5,2020-04-04,40
5,2020-04-05,37
5,2020-04-06,39
5,2020-04-07,46
5,2020-04-08,36
5,2020-04-09,32
5,2020-04-10,43
5,2020-04-11,31
5,2020-04-12,35
5,2020-04-13,40
5,2020-04-14,39
5,2020-04-15,38
5,2020-04-16,42
5,2020-04-17,42
5,2020-04-18,30
5,2020-04-19,35
5,2020-04-20,33
5,2020-04-21,40
5,2020-04-22,38
5,2020-04-23,37
5,2020-04-24,33
5,2020-04-25,35
