medicine_id,ds,y
1,2020-01-01,100
1,2020-01-02,77
1,2020-01-03,83
1,2020-01-04,84
1,2020-01-05,80
1,2020-01-06,82
1,2020-01-07,118
1,2020-01-08,89
1,2020-01-09,118
1,2020-01-10,120
1,2020-01-11,52
1,2020-01-12,71
1,2020-01-13,40
1,2020-01-14,73
1,2020-01-15,151
1,2020-01-16,104
1,2020-01-17,67
1,2020-01-18,75
1,2020-01-19,75
1,2020-01-20,104
1,2020-01-21,89
1,2020-01-22,144
1,2020-01-23,93
1,2020-01-24,82
1,2020-01-25,48
1,2020-01-26,58
1,2020-01-27,59
1,2020-01-28,92
1,2020-01-29,106
1,2020-01-30,73
1,2020-01-31,62
1,2020-02-01,82
1,2020-02-02,72
1,2020-02-03,112
1,2020-02-04,80
1,2020-02-05,98
1,2020-02-06,82
1,2020-02-07,90
1,2020-02-08,69
1,2020-02-09,62
1,2020-02-10,77
1,2020-02-11,93
1,2020-02-12,82
1,2020-02-13,117
1,2020-02-14,114
1,2020-02-15,79
1,2020-02-16,46
1,2020-02-17,75
1,2020-02-18,79
1,2020-02-19,81
1,2020-02-20,99
1,2020-02-21,72
1,2020-02-22,37
1,2020-02-23,52
1,2020-02-24,92
1,2020-02-25,98
1,2020-02-26,117
1,2020-02-27,114
1,2020-02-28,77
1,2020-02-29,84
1,2020-03-01,92
1,2020-03-02,70
1,2020-03-03,88
1,2020-03-04,95
1,2020-03-05,137
1,2020-03-06,104
1,2020-03-07,66
1,2020-03-08,66
1,2020-03-09,103
1,2020-03-10,110
1,2020-03-11,125
1,2020-03-12,111
1,2020-03-13,69
1,2020-03-14,72
1,2020-03-15,81
1,2020-03-16,116
1,2020-03-17,90
1,2020-03-18,106
1,2020-03-19,93
1,2020-03-20,100
1,2020-03-21,98
1,2020-03-22,64
1,2020-03-23,96
1,2020-03-24,120
1,2020-03-25,83
1,2020-03-26,95
1,2020-03-27,92
1,2020-03-28,65
1,2020-03-29,68
1,2020-03-30,87
1,2020-03-31,80
1,2020-04-01,123
1,2020-04-02,112
1,2020-04-03,67
1,2020-04-04,93
1,2020-04-05,70
1,2020-04-06,99
1,2020-04-07,100
1,2020-04-08,109
1,2020-04-09,121
1,2020-04-10,116
1,2020-04-11,87
1,2020-04-12,67
1,2020-04-13,95
1,2020-04-14,90
1,2020-04-15,136
1,2020-04-16,114
1,2020-04-17,105
1,2020-04-18,87
1,2020-04-19,84
1,2020-04-20,95
1,2020-04-21,105
1,2020-04-22,122
1,2020-04-23,132
1,2020-04-24,94
1,2020-04-25,57
1,2020-04-26,110
1,2020-04-27,84
1,2020-04-28,101
1,2020-04-29,133
1,2020-04-30,103
1,2020-05-01,378
1,2020-05-02,257
1,2020-05-03,326
1,2020-05-04,442
1,2020-05-05,494
1,2020-05-06,382
1,2020-05-07,503
1,2020-05-08,388
1,2020-05-09,292
1,2020-05-10,336
1,2020-05-11,431
1,2020-05-12,485
1,2020-05-13,277
1,2020-05-14,319
1,2020-05-15,370
1,2020-05-16,246
1,2020-05-17,392
1,2020-05-18,307
1,2020-05-19,277
1,2020-05-20,582
1,2020-05-21,489
1,2020-05-22,303
1,2020-05-23,268
1,2020-05-24,261
1,2020-05-25,317
1,2020-05-26,438
1,2020-05-27,384
1,2020-05-28,447
1,2020-05-29,491
1,2020-05-30,369
1,2020-05-31,345
1,2020-06-01,463
1,2020-06-02,372
1,2020-06-03,574
1,2020-06-04,532
1,2020-06-05,499
1,2020-06-06,385
1,2020-06-07,304
1,2020-06-08,437
1,2020-06-09,376
1,2020-06-10,498
1,2020-06-11,444
1,2020-06-12,441
1,2020-06-13,345
1,2020-06-14,260
1,2020-06-15,358
1,2020-06-16,375
1,2020-06-17,358
1,2020-06-18,435
1,2020-06-19,353
1,2020-06-20,413
1,2020-06-21,399
1,2020-06-22,307
1,2020-06-23,358
1,2020-06-24,471
1,2020-06-25,493
1,2020-06-26,443
1,2020-06-27,282
1,2020-06-28,358
1,2020-06-29,385
1,2020-06-30,311
1,2020-07-01,553
1,2020-07-02,346
1,2020-07-03,439
1,2020-07-04,317
1,2020-07-05,261
1,2020-07-06,329
1,2020-07-07,413
1,2020-07-08,293
1,2020-07-09,555
1,2020-07-10,373
1,2020-07-11,381
1,2020-07-12,396
1,2020-07-13,348
1,2020-07-14,441
1,2020-07-15,283
1,2020-07-16,403
1,2020-07-17,421
1,2020-07-18,370
1,2020-07-19,362
1,2020-07-20,480
1,2020-07-21,429
1,2020-07-22,518
1,2020-07-23,366
1,2020-07-24,474
1,2020-07-25,391
1,2020-07-26,341
1,2020-07-27,382
1,2020-07-28,693
1,2020-07-29,495
1,2020-07-30,401
1,2020-07-31,460
1,2020-08-01,351
1,2020-08-02,341
1,2020-08-03,487
1,2020-08-04,399
1,2020-08-05,361
1,2020-08-06,326
1,2020-08-07,395
1,2020-08-08,386
1,2020-08-09,410
1,2020-08-10,338
1,2020-08-11,345
1,2020-08-12,301
1,2020-08-13,420
1,2020-08-14,403
1,2020-08-15,322
1,2020-08-16,363
1,2020-08-17,294
1,2020-08-18,575
1,2020-08-19,453
1,2020-08-20,396
1,2020-08-21,217
1,2020-08-22,281
1,2020-08-23,188
1,2020-08-24,446
1,2020-08-25,432
1,2020-08-26,314
1,2020-08-27,357
1,2020-08-28,355
1,2020-08-29,325
1,2020-08-30,330
1,2020-08-31,264
1,2020-09-01,367
1,2020-09-02,429
1,2020-09-03,361
1,2020-09-04,425
1,2020-09-05,326
1,2020-09-06,330
1,2020-09-07,393
1,2020-09-08,241
1,2020-09-09,373
1,2020-09-10,338
1,2020-09-11,512
1,2020-09-12,347
1,2020-09-13,194
1,2020-09-14,410
1,2020-09-15,430
1,2020-09-16,367
1,2020-09-17,341
1,2020-09-18,404
1,2020-09-19,338
1,2020-09-20,352
1,2020-09-21,419
1,2020-09-22,273
1,2020-09-23,391
1,2020-09-24,333
1,2020-09-25,340
1,2020-09-26,267
1,2020-09-27,397
1,2020-09-28,342
1,2020-09-29,350
1,2020-09-30,501
1,2020-10-01,113
1,2020-10-02,108
1,2020-10-03,93
1,2020-10-04,89
1,2020-10-05,58
1,2020-10-06,102
1,2020-10-07,103
1,2020-10-08,110
1,2020-10-09,99
1,2020-10-10,64
1,2020-10-11,75
1,2020-10-12,77
1,2020-10-13,108
1,2020-10-14,51
1,2020-10-15,120
1,2020-10-16,81
1,2020-10-17,87
1,2020-10-18,106
1,2020-10-19,74
1,2020-10-20,123
1,2020-10-21,190
1,2020-10-22,156
1,2020-10-23,132
1,2020-10-24,105
1,2020-10-25,129
1,2020-10-26,167
1,2020-10-27,86
1,2020-10-28,98
1,2020-10-29,94
1,2020-10-30,75
1,2020-10-31,69
1,2020-11-01,93
1,2020-11-02,92
1,2020-11-03,98
1,2020-11-04,72
1,2020-11-05,75
1,2020-11-06,78
1,2020-11-07,85
1,2020-11-08,86
1,2020-11-09,129
1,2020-11-10,92
1,2020-11-11,119
1,2020-11-12,77
1,2020-11-13,96
1,2020-11-14,83
1,2020-11-15,69
1,2020-11-16,103
1,2020-11-17,118
1,2020-11-18,130
1,2020-11-19,117
1,2020-11-20,101
1,2020-11-21,69
1,2020-11-22,76
1,2020-11-23,76
1,2020-11-24,82
1,2020-11-25,108
1,2020-11-26,83
1,2020-11-27,108
1,2020-11-28,81
1,2020-11-29,70
1,2020-11-30,96
1,2020-12-01,117
1,2020-12-02,122
1,2020-12-03,103
1,2020-12-04,122
1,2020-12-05,67
1,2020-12-06,63
1,2020-12-07,81
1,2020-12-08,117
1,2020-12-09,86
1,2020-12-10,136
1,2020-12-11,77
1,2020-12-12,80
1,2020-12-13,76
1,2020-12-14,123
1,2020-12-15,89
1,2020-12-16,63
1,2020-12-17,119
1,2020-12-18,101
1,2020-12-19,84
1,2020-12-20,79
1,2020-12-21,58
1,2020-12-22,101
1,2020-12-23,84
1,2020-12-24,108
1,2020-12-25,103
1,2020-12-26,80
1,2020-12-27,81
1,2020-12-28,79
1,2020-12-29,131
1,2020-12-30,93
1,2020-12-31,73
1,2021-01-01,147
1,2021-01-02,77
1,2021-01-03,73
1,2021-01-04,99
1,2021-01-05,88
1,2021-01-06,72
1,2021-01-07,80
1,2021-01-08,109
1,2021-01-09,58
1,2021-01-10,76
1,2021-01-11,97
1,2021-01-12,115
1,2021-01-13,104
1,2021-01-14,78
1,2021-01-15,113
1,2021-01-16,57
1,2021-01-17,53
1,2021-01-18,96
1,2021-01-19,75
1,2021-01-20,93
1,2021-01-21,100
1,2021-01-22,89
1,2021-01-23,95
1,2021-01-24,92
1,2021-01-25,118
1,2021-01-26,93
1,2021-01-27,104
1,2021-01-28,90
1,2021-01-29,93
1,2021-01-30,76
1,2021-01-31,91
1,2021-02-01,81
1,2021-02-02,82
1,2021-02-03,77
1,2021-02-04,99
1,2021-02-05,121
1,2021-02-06,63
1,2021-02-07,98
1,2021-02-08,94
1,2021-02-09,76
1,2021-02-10,91
1,2021-02-11,88
1,2021-02-12,88
1,2021-02-13,59
1,2021-02-14,52
1,2021-02-15,134
1,2021-02-16,71
1,2021-02-17,115
1,2021-02-18,83
1,2021-02-19,49
1,2021-02-20,88
1,2021-02-21,65
1,2021-02-22,106
1,2021-02-23,96
1,2021-02-24,101
1,2021-02-25,96
1,2021-02-26,116
1,2021-02-27,74
1,2021-02-28,80
1,2021-03-01,123
1,2021-03-02,103
1,2021-03-03,98
1,2021-03-04,127
1,2021-03-05,115
1,2021-03-06,89
1,2021-03-07,99
1,2021-03-08,111
1,2021-03-09,79
1,2021-03-10,116
1,2021-03-11,85
1,2021-03-12,143
1,2021-03-13,110
1,2021-03-14,74
1,2021-03-15,129
1,2021-03-16,120
1,2021-03-17,89
1,2021-03-18,91
1,2021-03-19,93
1,2021-03-20,91
1,2021-03-21,70
1,2021-03-22,105
1,2021-03-23,80
1,2021-03-24,118
1,2021-03-25,90
1,2021-03-26,105
1,2021-03-27,92
1,2021-03-28,104
1,2021-03-29,74
1,2021-03-30,97
1,2021-03-31,107
1,2021-04-01,164
1,2021-04-02,83
1,2021-04-03,92
1,2021-04-04,124
1,2021-04-05,149
1,2021-04-06,79
1,2021-04-07,117
1,2021-04-08,105
1,2021-04-09,121
1,2021-04-10,72
1,2021-04-11,55
1,2021-04-12,133
1,2021-04-13,99
1,2021-04-14,114
1,2021-04-15,100
1,2021-04-16,71
1,2021-04-17,73
1,2021-04-18,146
1,2021-04-19,103
1,2021-04-20,137
1,2021-04-21,104
1,2021-04-22,121
1,2021-04-23,81
1,2021-04-24,94
1,2021-04-25,59
1,2021-04-26,122
1,2021-04-27,105
1,2021-04-28,83
1,2021-04-29,92
1,2021-04-30,100
1,2021-05-01,326
1,2021-05-02,213
1,2021-05-03,282
1,2021-05-04,405
1,2021-05-05,433
1,2021-05-06,375
1,2021-05-07,388
1,2021-05-08,394
1,2021-05-09,279
1,2021-05-10,390
1,2021-05-11,309
1,2021-05-12,361
1,2021-05-13,465
1,2021-05-14,373
1,2021-05-15,264
1,2021-05-16,423
1,2021-05-17,365
1,2021-05-18,487
1,2021-05-19,336
1,2021-05-20,335
1,2021-05-21,315
1,2021-05-22,295
1,2021-05-23,291
1,2021-05-24,383
1,2021-05-25,403
1,2021-05-26,473
1,2021-05-27,369
1,2021-05-28,384
1,2021-05-29,273
1,2021-05-30,221
1,2021-05-31,332
1,2021-06-01,346
1,2021-06-02,496
1,2021-06-03,337
1,2021-06-04,413
1,2021-06-05,284
1,2021-06-06,336
1,2021-06-07,419
1,2021-06-08,389
1,2021-06-09,290
1,2021-06-10,445
1,2021-06-11,410
1,2021-06-12,365
1,2021-06-13,440
1,2021-06-14,445
1,2021-06-15,404
1,2021-06-16,252
1,2021-06-17,314
1,2021-06-18,325
1,2021-06-19,469
1,2021-06-20,249
1,2021-06-21,529
1,2021-06-22,282
1,2021-06-23,437
1,2021-06-24,348
1,2021-06-25,308
1,2021-06-26,287
1,2021-06-27,358
1,2021-06-28,302
1,2021-06-29,400
1,2021-06-30,419
1,2021-07-01,339
1,2021-07-02,421
1,2021-07-03,297
1,2021-07-04,308
1,2021-07-05,330
1,2021-07-06,498
1,2021-07-07,249
1,2021-07-08,359
1,2021-07-09,259
1,2021-07-10,249
1,2021-07-11,374
1,2021-07-12,295
1,2021-07-13,397
1,2021-07-14,424
1,2021-07-15,333
1,2021-07-16,397
1,2021-07-17,204
1,2021-07-18,300
1,2021-07-19,454
1,2021-07-20,373
1,2021-07-21,388
1,2021-07-22,329
1,2021-07-23,353
1,2021-07-24,435
1,2021-07-25,302
1,2021-07-26,392
1,2021-07-27,323
1,2021-07-28,527
1,2021-07-29,298
1,2021-07-30,346
1,2021-07-31,260
1,2021-08-01,94
1,2021-08-02,65
1,2021-08-03,131
1,2021-08-04,136
1,2021-08-05,135
1,2021-08-06,178
1,2021-08-07,139
1,2021-08-08,96
1,2021-08-09,118
1,2021-08-10,103
1,2021-08-11,107
1,2021-08-12,154
1,2021-08-13,127
1,2021-08-14,136
1,2021-08-15,108
1,2021-08-16,149
1,2021-08-17,137
1,2021-08-18,126
1,2021-08-19,126
1,2021-08-20,161
1,2021-08-21,71
1,2021-08-22,75
1,2021-08-23,124
1,2021-08-24,154
1,2021-08-25,82
1,2021-08-26,106
1,2021-08-27,132
1,2021-08-28,54
1,2021-08-29,68
1,2021-08-30,113
1,2021-08-31,158
1,2021-09-01,125
1,2021-09-02,143
1,2021-09-03,140
1,2021-09-04,94
1,2021-09-05,64
1,2021-09-06,127
1,2021-09-07,103
1,2021-09-08,137
1,2021-09-09,55
1,2021-09-10,142
1,2021-09-11,92
1,2021-09-12,71
1,2021-09-13,111
1,2021-09-14,141
1,2021-09-15,135
1,2021-09-16,108
1,2021-09-17,88
1,2021-09-18,95
1,2021-09-19,85
1,2021-09-20,140
1,2021-09-21,141
1,2021-09-22,89
1,2021-09-23,116
1,2021-09-24,129
1,2021-09-25,92
1,2021-09-26,95
1,2021-09-27,128
1,2021-09-28,119
1,2021-09-29,101
1,2021-09-30,109
1,2021-10-01,141
1,2021-10-02,93
1,2021-10-03,86
1,2021-10-04,110
1,2021-10-05,115
1,2021-10-06,134
1,2021-10-07,124
1,2021-10-08,150
1,2021-10-09,91
1,2021-10-10,108
1,2021-10-11,186
1,2021-10-12,108
1,2021-10-13,115
1,2021-10-14,168
1,2021-10-15,90
1,2021-10-16,65
1,2021-10-17,69
1,2021-10-18,106
1,2021-10-19,91
1,2021-10-20,132
1,2021-10-21,119
1,2021-10-22,99
1,2021-10-23,91
1,2021-10-24,64
1,2021-10-25,151
1,2021-10-26,123
1,2021-10-27,85
1,2021-10-28,93
1,2021-10-29,91
1,2021-10-30,45
1,2021-10-31,105
1,2021-11-01,123
1,2021-11-02,96
1,2021-11-03,129
1,2021-11-04,132
1,2021-11-05,91
1,2021-11-06,124
1,2021-11-07,58
1,2021-11-08,80
1,2021-11-09,102
1,2021-11-10,96
1,2021-11-11,109
1,2021-11-12,90
1,2021-11-13,65
1,2021-11-14,82
1,2021-11-15,62
1,2021-11-16,102
1,2021-11-17,81
1,2021-11-18,127
1,2021-11-19,127
1,2021-11-20,76
1,2021-11-21,103
1,2021-11-22,124
1,2021-11-23,98
1,2021-11-24,114
1,2021-11-25,133
1,2021-11-26,111
1,2021-11-27,58
1,2021-11-28,68
1,2021-11-29,137
1,2021-11-30,106
1,2021-12-01,97
1,2021-12-02,93
1,2021-12-03,98
1,2021-12-04,83
1,2021-12-05,100
1,2021-12-06,108
1,2021-12-07,109
1,2021-12-08,87
1,2021-12-09,93
1,2021-12-10,101
1,2021-12-11,89
1,2021-12-12,70
1,2021-12-13,83
1,2021-12-14,115
1,2021-12-15,70
1,2021-12-16,84
1,2021-12-17,92
1,2021-12-18,68
1,2021-12-19,103
1,2021-12-20,135
1,2021-12-21,130
1,2021-12-22,103
1,2021-12-23,117
1,2021-12-24,100
1,2021-12-25,82
1,2021-12-26,88
1,2021-12-27,157
1,2021-12-28,92
1,2021-12-29,104
1,2021-12-30,118
1,2021-12-31,89
1,2022-01-01,71
1,2022-01-02,77
1,2022-01-03,98
1,2022-01-04,61
1,2022-01-05,96
1,2022-01-06,75
1,2022-01-07,112
1,2022-01-08,76
1,2022-01-09,86
1,2022-01-10,95
1,2022-01-11,110
1,2022-01-12,138
1,2022-01-13,97
1,2022-01-14,110
1,2022-01-15,53
1,2022-01-16,77
1,2022-01-17,90
1,2022-01-18,124
1,2022-01-19,99
1,2022-01-20,93
1,2022-01-21,86
1,2022-01-22,81
1,2022-01-23,104
1,2022-01-24,131
1,2022-01-25,102
1,2022-01-26,74
1,2022-01-27,95
1,2022-01-28,109
1,2022-01-29,69
1,2022-01-30,70
1,2022-01-31,102
1,2022-02-01,87
1,2022-02-02,109
1,2022-02-03,100
1,2022-02-04,83
1,2022-02-05,92
1,2022-02-06,87
1,2022-02-07,97
1,2022-02-08,89
1,2022-02-09,118
1,2022-02-10,117
1,2022-02-11,91
1,2022-02-12,102
1,2022-02-13,77
1,2022-02-14,113
1,2022-02-15,97
1,2022-02-16,107
1,2022-02-17,103
1,2022-02-18,99
1,2022-02-19,78
1,2022-02-20,94
1,2022-02-21,95
1,2022-02-22,122
1,2022-02-23,119
1,2022-02-24,84
1,2022-02-25,123
1,2022-02-26,112
1,2022-02-27,82
1,2022-02-28,126
1,2022-03-01,107
1,2022-03-02,145
1,2022-03-03,89
1,2022-03-04,114
1,2022-03-05,78
1,2022-03-06,110
1,2022-03-07,103
1,2022-03-08,128
1,2022-03-09,91
1,2022-03-10,152
1,2022-03-11,128
1,2022-03-12,74
1,2022-03-13,82
1,2022-03-14,114
1,2022-03-15,151
1,2022-03-16,90
1,2022-03-17,163
1,2022-03-18,140
1,2022-03-19,116
1,2022-03-20,68
1,2022-03-21,91
1,2022-03-22,127
1,2022-03-23,147
1,2022-03-24,149
1,2022-03-25,123
1,2022-03-26,78
1,2022-03-27,73
1,2022-03-28,96
1,2022-03-29,127
1,2022-03-30,122
1,2022-03-31,70
1,2022-04-01,112
1,2022-04-02,75
1,2022-04-03,107
1,2022-04-04,101
1,2022-04-05,93
1,2022-04-06,151
1,2022-04-07,128
1,2022-04-08,145
1,2022-04-09,65
1,2022-04-10,112
1,2022-04-11,93
1,2022-04-12,101
1,2022-04-13,111
1,2022-04-14,137
1,2022-04-15,86
1,2022-04-16,73
1,2022-04-17,117
1,2022-04-18,112
1,2022-04-19,97
1,2022-04-20,123
1,2022-04-21,126
1,2022-04-22,122
1,2022-04-23,93
1,2022-04-24,106
1,2022-04-25,123
1,2022-04-26,89
1,2022-04-27,101
1,2022-04-28,88
1,2022-04-29,108
1,2022-04-30,60
1,2022-05-01,80
1,2022-05-02,141
1,2022-05-03,137
1,2022-05-04,131
1,2022-05-05,124
1,2022-05-06,152
1,2022-05-07,97
1,2022-05-08,138
1,2022-05-09,125
1,2022-05-10,112
1,2022-05-11,136
1,2022-05-12,89
1,2022-05-13,96
1,2022-05-14,128
1,2022-05-15,116
1,2022-05-16,94
1,2022-05-17,164
1,2022-05-18,153
1,2022-05-19,152
1,2022-05-20,161
1,2022-05-21,88
1,2022-05-22,84
1,2022-05-23,169
1,2022-05-24,121
1,2022-05-25,93
1,2022-05-26,140
1,2022-05-27,106
1,2022-05-28,96
1,2022-05-29,100
1,2022-05-30,74
1,2022-05-31,134
1,2022-06-01,139
1,2022-06-02,81
1,2022-06-03,173
1,2022-06-04,155
1,2022-06-05,127
1,2022-06-06,145
1,2022-06-07,149
1,2022-06-08,104
1,2022-06-09,130
1,2022-06-10,150
1,2022-06-11,94
1,2022-06-12,94
1,2022-06-13,162
1,2022-06-14,121
1,2022-06-15,138
1,2022-06-16,145
1,2022-06-17,153
1,2022-06-18,121
1,2022-06-19,60
1,2022-06-20,92
1,2022-06-21,144
1,2022-06-22,87
1,2022-06-23,140
1,2022-06-24,148
1,2022-06-25,119
1,2022-06-26,127
1,2022-06-27,120
1,2022-06-28,101
1,2022-06-29,166
1,2022-06-30,145
1,2022-07-01,137
1,2022-07-02,129
1,2022-07-03,125
1,2022-07-04,113
1,2022-07-05,133
1,2022-07-06,201
1,2022-07-07,83
1,2022-07-08,181
1,2022-07-09,112
1,2022-07-10,124
1,2022-07-11,163
1,2022-07-12,91
1,2022-07-13,151
1,2022-07-14,185
1,2022-07-15,179
1,2022-07-16,135
1,2022-07-17,112
1,2022-07-18,61
1,2022-07-19,135
1,2022-07-20,145
1,2022-07-21,179
1,2022-07-22,141
1,2022-07-23,135
1,2022-07-24,98
1,2022-07-25,123
1,2022-07-26,145
1,2022-07-27,188
1,2022-07-28,184
1,2022-07-29,137
1,2022-07-30,162
1,2022-07-31,154
1,2022-08-01,120
1,2022-08-02,135
1,2022-08-03,131
1,2022-08-04,128
1,2022-08-05,174
1,2022-08-06,106
1,2022-08-07,117
1,2022-08-08,101
1,2022-08-09,98
1,2022-08-10,85
1,2022-08-11,106
1,2022-08-12,116
1,2022-08-13,117
1,2022-08-14,102
1,2022-08-15,136
1,2022-08-16,108
1,2022-08-17,99
1,2022-08-18,151
1,2022-08-19,126
1,2022-08-20,104
1,2022-08-21,106
1,2022-08-22,115
1,2022-08-23,119
1,2022-08-24,126
1,2022-08-25,154
1,2022-08-26,125
1,2022-08-27,90
1,2022-08-28,134
1,2022-08-29,116
1,2022-08-30,113
1,2022-08-31,86
1,2022-09-01,156
1,2022-09-02,107
1,2022-09-03,98
1,2022-09-04,122
1,2022-09-05,109
1,2022-09-06,108
1,2022-09-07,130
1,2022-09-08,135
1,2022-09-09,142
1,2022-09-10,77
1,2022-09-11,77
1,2022-09-12,120
1,2022-09-13,135
1,2022-09-14,111
1,2022-09-15,136
1,2022-09-16,170
