medicine_id,date,quantity_used
3,2020-01-01,50
3,2020-01-02,50
3,2020-01-03,54
3,2020-01-04,46
3,2020-01-05,37
3,2020-01-06,60
3,2020-01-07,57
3,2020-01-08,52
3,2020-01-09,49
3,2020-01-10,50
3,2020-01-11,41
3,2020-01-12,38
3,2020-01-13,62
3,2020-01-14,60
3,2020-01-15,49
3,2020-01-16,55
3,2020-01-17,60
3,2020-01-18,44
3,2020-01-19,39
3,2020-01-20,59
3,2020-01-21,61
3,2020-01-22,54
3,2020-01-23,53
3,2020-01-24,60
3,2020-01-25,47
3,2020-01-26,38
3,2020-01-27,63
3,2020-01-28,55
3,2020-01-29,49
3,2020-01-30,54
3,2020-01-31,58
3,2020-02-01,43
3,2020-02-02,45
3,2020-02-03,60
3,2020-02-04,55
3,2020-02-05,55
3,2020-02-06,50
3,2020-02-07,61
3,2020-02-08,50
3,2020-02-09,41
3,2020-02-10,61
3,2020-02-11,54
3,2020-02-12,58
3,2020-02-13,55
3,2020-02-14,54
3,2020-02-15,43
3,2020-02-16,44
3,2020-02-17,59
3,2020-02-18,63
3,2020-02-19,54
3,2020-02-20,53
3,2020-02-21,55
3,2020-02-22,45
3,2020-02-23,39
3,2020-02-24,67
3,2020-02-25,63
3,2020-02-26,57
3,2020-02-27,54
3,2020-02-28,54
3,2020-02-29,46
3,2020-03-01,39
3,2020-03-02,56
3,2020-03-03,62
3,2020-03-04,54
3,2020-03-05,56
3,2020-03-06,61
3,2020-03-07,46
3,2020-03-08,39
3,2020-03-09,71
3,2020-03-10,61
3,2020-03-11,57
3,2020-03-12,51
3,2020-03-13,61
3,2020-03-14,46
3,2020-03-15,48
3,2020-03-16,67
3,2020-03-17,65
3,2020-03-18,64
3,2020-03-19,59
3,2020-03-20,67
3,2020-03-21,55
3,2020-03-22,44
3,2020-03-23,74
3,2020-03-24,68
3,2020-03-25,61
3,2020-03-26,65
3,2020-03-27,63
3,2020-03-28,48
3,2020-03-29,41
3,2020-03-30,72
3,2020-03-31,58
3,2020-04-01,58
3,2020-04-02,63
3,2020-04-03,64
3,2020-04-04,49
3,2020-04-05,47
3,2020-04-06,73
3,2020-04-07,69
3,2020-04-08,66
3,2020-04-09,61
3,2020-04-10,69
3,2020-04-11,48
3,2020-04-12,48
3,2020-04-13,75
3,2020-04-14,62
3,2020-04-15,64
3,2020-04-16,66
3,2020-04-17,68
3,2020-04-18,47
3,2020-04-19,42
3,2020-04-20,68
3,2020-04-21,65
3,2020-04-22,60
3,2020-04-23,58
3,2020-04-24,69
3,2020-04-25,49
3,2020-04-26,44
3,2020-04-27,74
3,2020-04-28,60
3,2020-04-29,57
3,2020-04-30,60
3,2020-05-01,66
3,2020-05-02,54
3,2020-05-03,54
3,2020-05-04,89
3,2020-05-05,88
3,2020-05-06,86
3,2020-05-07,91
3,2020-05-08,97
3,2020-05-09,83
3,2020-05-10,75
3,2020-05-11,130
3,2020-05-12,122
3,2020-05-13,111
3,2020-05-14,124
3,2020-05-15,129
3,2020-05-16,109
3,2020-05-17,96
3,2020-05-18,144
3,2020-05-19,144
3,2020-05-20,127
3,2020-05-21,124
3,2020-05-22,136
3,2020-05-23,105
3,2020-05-24,98
3,2020-05-25,157
3,2020-05-26,142
3,2020-05-27,125
3,2020-05-28,118
3,2020-05-29,151
3,2020-05-30,105
3,2020-05-31,100
3,2020-06-01,154
3,2020-06-02,140
3,2020-06-03,115
3,2020-06-04,137
3,2020-06-05,152
3,2020-06-06,109
3,2020-06-07,99
3,2020-06-08,171
3,2020-06-09,140
3,2020-06-10,130
3,2020-06-11,133
3,2020-06-12,142
3,2020-06-13,107
3,2020-06-14,90
3,2020-06-15,155
3,2020-06-16,138
3,2020-06-17,128
3,2020-06-18,120
3,2020-06-19,145
3,2020-06-20,113
3,2020-06-21,93
3,2020-06-22,142
3,2020-06-23,130
3,2020-06-24,127
3,2020-06-25,119
3,2020-06-26,128
3,2020-06-27,103
3,2020-06-28,98
3,2020-06-29,146
3,2020-06-30,126
3,2020-07-01,138
3,2020-07-02,124
3,2020-07-03,116
3,2020-07-04,99
3,2020-07-05,88
3,2020-07-06,142
3,2020-07-07,127
3,2020-07-08,114
3,2020-07-09,121
3,2020-07-10,131
3,2020-07-11,91
3,2020-07-12,94
3,2020-07-13,147
3,2020-07-14,125
3,2020-07-15,122
3,2020-07-16,123
3,2020-07-17,128
3,2020-07-18,93
3,2020-07-19,81
3,2020-07-20,130
3,2020-07-21,125
3,2020-07-22,132
3,2020-07-23,118
3,2020-07-24,121
3,2020-07-25,96
3,2020-07-26,90
3,2020-07-27,144
3,2020-07-28,135
3,2020-07-29,103
3,2020-07-30,121
3,2020-07-31,134
3,2020-08-01,97
3,2020-08-02,78
3,2020-08-03,144
3,2020-08-04,117
3,2020-08-05,118
3,2020-08-06,112
3,2020-08-07,124
3,2020-08-08,91
3,2020-08-09,84
3,2020-08-10,130
3,2020-08-11,125
3,2020-08-12,115
3,2020-08-13,101
3,2020-08-14,113
3,2020-08-15,96
3,2020-08-16,75
3,2020-08-17,133
3,2020-08-18,118
3,2020-08-19,110
3,2020-08-20,102
3,2020-08-21,113
3,2020-08-22,83
3,2020-08-23,80
3,2020-08-24,135
3,2020-08-25,125
3,2020-08-26,104
3,2020-08-27,106
3,2020-08-28,122
3,2020-08-29,81
3,2020-08-30,78
3,2020-08-31,112
3,2020-09-01,116
3,2020-09-02,102
3,2020-09-03,95
3,2020-09-04,123
3,2020-09-05,91
3,2020-09-06,74
3,2020-09-07,123
3,2020-09-08,115
3,2020-09-09,92
3,2020-09-10,105
3,2020-09-11,110
3,2020-09-12,83
3,2020-09-13,76
3,2020-09-14,119
3,2020-09-15,107
3,2020-09-16,108
3,2020-09-17,104
3,2020-09-18,102
3,2020-09-19,79
3,2020-09-20,64
3,2020-09-21,97
3,2020-09-22,89
3,2020-09-23,77
3,2020-09-24,75
3,2020-09-25,77
3,2020-09-26,56
3,2020-09-27,50
3,2020-09-28,60
3,2020-09-29,60
3,2020-09-30,42
3,2020-10-01,50
3,2020-10-02,56
3,2020-10-03,45
3,2020-10-04,41
3,2020-10-05,58
3,2020-10-06,57
3,2020-10-07,49
3,2020-10-08,52
3,2020-10-09,50
3,2020-10-10,41
3,2020-10-11,36
3,2020-10-12,59
3,2020-10-13,56
3,2020-10-14,52
3,2020-10-15,54
3,2020-10-16,50
3,2020-10-17,45
3,2020-10-18,36
3,2020-10-19,67
3,2020-10-20,58
3,2020-10-21,57
3,2020-10-22,55
3,2020-10-23,66
3,2020-10-24,51
3,2020-10-25,41
3,2020-10-26,67
3,2020-10-27,58
3,2020-10-28,45
3,2020-10-29,43
3,2020-10-30,52
3,2020-10-31,38
3,2020-11-01,35
3,2020-11-02,59
3,2020-11-03,44
3,2020-11-04,45
3,2020-11-05,50
3,2020-11-06,45
3,2020-11-07,39
3,2020-11-08,36
3,2020-11-09,60
3,2020-11-10,51
3,2020-11-11,48
3,2020-11-12,44
3,2020-11-13,51
3,2020-11-14,40
3,2020-11-15,35
3,2020-11-16,56
3,2020-11-17,53
3,2020-11-18,48
3,2020-11-19,45
3,2020-11-20,53
3,2020-11-21,35
3,2020-11-22,40
3,2020-11-23,53
3,2020-11-24,54
3,2020-11-25,43
3,2020-11-26,49
3,2020-11-27,54
3,2020-11-28,40
3,2020-11-29,36
3,2020-11-30,56
3,2020-12-01,55
3,2020-12-02,46
3,2020-12-03,51
3,2020-12-04,49
3,2020-12-05,46
3,2020-12-06,38
3,2020-12-07,64
3,2020-12-08,52
3,2020-12-09,50
3,2020-12-10,49
3,2020-12-11,52
3,2020-12-12,45
3,2020-12-13,42
3,2020-12-14,59
3,2020-12-15,53
3,2020-12-16,50
3,2020-12-17,52
3,2020-12-18,58
3,2020-12-19,42
3,2020-12-20,36
3,2020-12-21,64
3,2020-12-22,59
3,2020-12-23,52
3,2020-12-24,47
3,2020-12-25,59
3,2020-12-26,42
3,2020-12-27,37
3,2020-12-28,55
3,2020-12-29,51
3,2020-12-30,56
3,2020-12-31,52
3,2021-01-01,52
3,2021-01-02,43
3,2021-01-03,35
3,2021-01-04,60
3,2021-01-05,55
3,2021-01-06,52
3,2021-01-07,53
3,2021-01-08,57
3,2021-01-09,48
3,2021-01-10,45
3,2021-01-11,65
3,2021-01-12,52
3,2021-01-13,52
3,2021-01-14,54
3,2021-01-15,58
3,2021-01-16,45
3,2021-01-17,38
3,2021-01-18,58
3,2021-01-19,58
3,2021-01-20,51
3,2021-01-21,52
3,2021-01-22,55
3,2021-01-23,42
3,2021-01-24,40
3,2021-01-25,52
3,2021-01-26,60
3,2021-01-27,53
3,2021-01-28,54
3,2021-01-29,56
3,2021-01-30,43
3,2021-01-31,41
3,2021-02-01,66
3,2021-02-02,63
3,2021-02-03,55
3,2021-02-04,57
3,2021-02-05,62
3,2021-02-06,47
3,2021-02-07,41
3,2021-02-08,62
3,2021-02-09,59
3,2021-02-10,53
3,2021-02-11,61
3,2021-02-12,63
3,2021-02-13,48
3,2021-02-14,39
3,2021-02-15,67
3,2021-02-16,63
3,2021-02-17,57
3,2021-02-18,51
3,2021-02-19,63
3,2021-02-20,45
3,2021-02-21,47
3,2021-02-22,68
3,2021-02-23,62
3,2021-02-24,51
3,2021-02-25,60
3,2021-02-26,56
3,2021-02-27,49
3,2021-02-28,40
3,2021-03-01,63
3,2021-03-02,66
3,2021-03-03,55
3,2021-03-04,58
3,2021-03-05,64
3,2021-03-06,50
3,2021-03-07,43
3,2021-03-08,71
3,2021-03-09,62
3,2021-03-10,60
