medicine_id,date,quantity_used
2,2020-01-01,83
2,2020-01-02,71
2,2020-01-03,64
2,2020-01-04,54
2,2020-01-05,65
2,2020-01-06,74
2,2020-01-07,71
2,2020-01-08,67
2,2020-01-09,78
2,2020-01-10,69
2,2020-01-11,65
2,2020-01-12,56
2,2020-01-13,81
2,2020-01-14,62
2,2020-01-15,67
2,2020-01-16,73
2,2020-01-17,59
2,2020-01-18,60
2,2020-01-19,58
2,2020-01-20,69
2,2020-01-21,68
2,2020-01-22,77
2,2020-01-23,74
2,2020-01-24,65
2,2020-01-25,68
2,2020-01-26,65
2,2020-01-27,64
2,2020-01-28,81
2,2020-01-29,69
2,2020-01-30,60
2,2020-01-31,73
2,2020-02-01,63
2,2020-02-02,55
2,2020-02-03,66
2,2020-02-04,68
2,2020-02-05,65
2,2020-02-06,65
2,2020-02-07,86
2,2020-02-08,67
2,2020-02-09,60
2,2020-02-10,79
2,2020-02-11,69
2,2020-02-12,76
2,2020-02-13,72
2,2020-02-14,73
2,2020-02-15,54
2,2020-02-16,67
2,2020-02-17,78
2,2020-02-18,77
2,2020-02-19,87
2,2020-02-20,65
2,2020-02-21,64
2,2020-02-22,51
2,2020-02-23,68
2,2020-02-24,75
2,2020-02-25,81
2,2020-02-26,58
2,2020-02-27,69
2,2020-02-28,69
2,2020-02-29,67
2,2020-03-01,83
2,2020-03-02,85
2,2020-03-03,72
2,2020-03-04,84
2,2020-03-05,72
2,2020-03-06,71
2,2020-03-07,66
2,2020-03-08,62
2,2020-03-09,78
2,2020-03-10,79
2,2020-03-11,82
2,2020-03-12,87
2,2020-03-13,62
2,2020-03-14,72
2,2020-03-15,74
2,2020-03-16,61
2,2020-03-17,76
2,2020-03-18,84
2,2020-03-19,77
2,2020-03-20,92
2,2020-03-21,77
2,2020-03-22,69
2,2020-03-23,76
2,2020-03-24,65
2,2020-03-25,80
2,2020-03-26,77
2,2020-03-27,93
2,2020-03-28,64
2,2020-03-29,77
2,2020-03-30,76
2,2020-03-31,80
2,2020-04-01,85
2,2020-04-02,77
2,2020-04-03,76
2,2020-04-04,72
2,2020-04-05,66
2,2020-04-06,79
2,2020-04-07,83
2,2020-04-08,71
2,2020-04-09,91
2,2020-04-10,58
2,2020-04-11,63
2,2020-04-12,67
2,2020-04-13,71
2,2020-04-14,77
2,2020-04-15,64
2,2020-04-16,91
2,2020-04-17,76
2,2020-04-18,67
2,2020-04-19,72
2,2020-04-20,71
2,2020-04-21,73
2,2020-04-22,76
2,2020-04-23,78
2,2020-04-24,72
2,2020-04-25,83
2,2020-04-26,68
2,2020-04-27,69
2,2020-04-28,77
2,2020-04-29,78
2,2020-04-30,84
2,2020-05-01,156
2,2020-05-02,151
2,2020-05-03,141
2,2020-05-04,163
2,2020-05-05,206
2,2020-05-06,154
2,2020-05-07,167
2,2020-05-08,192
2,2020-05-09,173
2,2020-05-10,151
2,2020-05-11,185
2,2020-05-12,155
2,2020-05-13,158
2,2020-05-14,157
2,2020-05-15,166
2,2020-05-16,149
2,2020-05-17,131
2,2020-05-18,159
2,2020-05-19,182
2,2020-05-20,143
2,2020-05-21,188
2,2020-05-22,171
2,2020-05-23,169
2,2020-05-24,167
2,2020-05-25,181
2,2020-05-26,183
2,2020-05-27,182
2,2020-05-28,168
2,2020-05-29,162
2,2020-05-30,155
2,2020-05-31,178
2,2020-06-01,188
2,2020-06-02,192
2,2020-06-03,139
2,2020-06-04,168
2,2020-06-05,149
2,2020-06-06,168
2,2020-06-07,162
2,2020-06-08,175
2,2020-06-09,166
2,2020-06-10,138
2,2020-06-11,149
2,2020-06-12,162
2,2020-06-13,138
2,2020-06-14,131
2,2020-06-15,184
2,2020-06-16,147
2,2020-06-17,161
2,2020-06-18,181
2,2020-06-19,158
2,2020-06-20,166
2,2020-06-21,146
2,2020-06-22,152
2,2020-06-23,191
2,2020-06-24,167
2,2020-06-25,165
2,2020-06-26,189
2,2020-06-27,180
2,2020-06-28,138
2,2020-06-29,139
2,2020-06-30,161
2,2020-07-01,182
2,2020-07-02,191
2,2020-07-03,182
2,2020-07-04,147
2,2020-07-05,126
2,2020-07-06,180
2,2020-07-07,153
2,2020-07-08,176
2,2020-07-09,156
2,2020-07-10,163
2,2020-07-11,125
2,2020-07-12,157
2,2020-07-13,215
2,2020-07-14,156
2,2020-07-15,162
2,2020-07-16,158
2,2020-07-17,177
2,2020-07-18,139
2,2020-07-19,180
2,2020-07-20,152
2,2020-07-21,157
2,2020-07-22,147
2,2020-07-23,148
2,2020-07-24,161
2,2020-07-25,134
2,2020-07-26,158
2,2020-07-27,154
2,2020-07-28,167
2,2020-07-29,164
2,2020-07-30,169
2,2020-07-31,166
2,2020-08-01,164
2,2020-08-02,146
2,2020-08-03,118
2,2020-08-04,179
2,2020-08-05,176
2,2020-08-06,142
2,2020-08-07,157
2,2020-08-08,152
2,2020-08-09,168
2,2020-08-10,170
2,2020-08-11,172
2,2020-08-12,150
2,2020-08-13,178
2,2020-08-14,172
2,2020-08-15,128
2,2020-08-16,177
2,2020-08-17,152
2,2020-08-18,181
2,2020-08-19,178
2,2020-08-20,106
2,2020-08-21,176
2,2020-08-22,140
2,2020-08-23,143
2,2020-08-24,140
2,2020-08-25,165
2,2020-08-26,175
2,2020-08-27,151
2,2020-08-28,141
2,2020-08-29,162
2,2020-08-30,155
2,2020-08-31,181
2,2020-09-01,154
2,2020-09-02,164
2,2020-09-03,160
2,2020-09-04,158
2,2020-09-05,140
2,2020-09-06,158
2,2020-09-07,132
2,2020-09-08,170
2,2020-09-09,172
2,2020-09-10,135
2,2020-09-11,138
2,2020-09-12,147
2,2020-09-13,161
2,2020-09-14,161
2,2020-09-15,153
2,2020-09-16,140
2,2020-09-17,173
2,2020-09-18,154
2,2020-09-19,160
2,2020-09-20,170
2,2020-09-21,161
2,2020-09-22,188
2,2020-09-23,145
2,2020-09-24,155
2,2020-09-25,115
2,2020-09-26,130
2,2020-09-27,144
2,2020-09-28,179
2,2020-09-29,162
2,2020-09-30,174
2,2020-10-01,67
2,2020-10-02,78
2,2020-10-03,61
2,2020-10-04,73
2,2020-10-05,69
2,2020-10-06,70
2,2020-10-07,85
2,2020-10-08,66
2,2020-10-09,61
2,2020-10-10,72
2,2020-10-11,66
2,2020-10-12,78
2,2020-10-13,75
2,2020-10-14,67
2,2020-10-15,64
2,2020-10-16,61
2,2020-10-17,56
2,2020-10-18,52
2,2020-10-19,68
2,2020-10-20,103
2,2020-10-21,102
2,2020-10-22,95
2,2020-10-23,86
2,2020-10-24,94
2,2020-10-25,70
2,2020-10-26,94
2,2020-10-27,78
2,2020-10-28,68
2,2020-10-29,79
2,2020-10-30,72
2,2020-10-31,61
2,2020-11-01,66
2,2020-11-02,78
2,2020-11-03,62
2,2020-11-04,81
2,2020-11-05,74
2,2020-11-06,79
2,2020-11-07,60
2,2020-11-08,66
2,2020-11-09,82
2,2020-11-10,64
2,2020-11-11,79
2,2020-11-12,71
2,2020-11-13,66
2,2020-11-14,58
2,2020-11-15,63
2,2020-11-16,72
2,2020-11-17,65
2,2020-11-18,70
2,2020-11-19,76
2,2020-11-20,80
2,2020-11-21,54
2,2020-11-22,59
2,2020-11-23,72
2,2020-11-24,80
2,2020-11-25,76
2,2020-11-26,71
2,2020-11-27,78
2,2020-11-28,71
2,2020-11-29,62
2,2020-11-30,72
2,2020-12-01,67
2,2020-12-02,67
2,2020-12-03,74
2,2020-12-04,63
2,2020-12-05,73
2,2020-12-06,60
2,2020-12-07,67
2,2020-12-08,81
2,2020-12-09,70
2,2020-12-10,69
2,2020-12-11,79
2,2020-12-12,64
2,2020-12-13,77
2,2020-12-14,83
2,2020-12-15,71
2,2020-12-16,73
2,2020-12-17,81
2,2020-12-18,74
2,2020-12-19,63
2,2020-12-20,60
2,2020-12-21,82
2,2020-12-22,74
2,2020-12-23,75
2,2020-12-24,78
2,2020-12-25,72
2,2020-12-26,81
2,2020-12-27,56
2,2020-12-28,80
2,2020-12-29,72
2,2020-12-30,81
2,2020-12-31,63
2,2021-01-01,81
2,2021-01-02,71
2,2021-01-03,59
2,2021-01-04,65
2,2021-01-05,69
2,2021-01-06,72
2,2021-01-07,68
2,2021-01-08,72
2,2021-01-09,60
2,2021-01-10,61
2,2021-01-11,73
2,2021-01-12,82
2,2021-01-13,63
2,2021-01-14,76
2,2021-01-15,64
2,2021-01-16,64
2,2021-01-17,66
2,2021-01-18,57
2,2021-01-19,76
2,2021-01-20,66
2,2021-01-21,82
2,2021-01-22,91
2,2021-01-23,68
2,2021-01-24,69
2,2021-01-25,71
2,2021-01-26,73
2,2021-01-27,75
2,2021-01-28,67
2,2021-01-29,60
2,2021-01-30,59
2,2021-01-31,63
2,2021-02-01,68
2,2021-02-02,67
2,2021-02-03,69
2,2021-02-04,76
2,2021-02-05,89
2,2021-02-06,66
2,2021-02-07,59
2,2021-02-08,79
2,2021-02-09,69
2,2021-02-10,73
2,2021-02-11,84
2,2021-02-12,72
2,2021-02-13,68
2,2021-02-14,80
2,2021-02-15,76
2,2021-02-16,86
2,2021-02-17,63
2,2021-02-18,79
2,2021-02-19,62
2,2021-02-20,56
2,2021-02-21,71
2,2021-02-22,62
2,2021-02-23,66
2,2021-02-24,78
2,2021-02-25,88
2,2021-02-26,70
2,2021-02-27,76
2,2021-02-28,63
2,2021-03-01,66
2,2021-03-02,80
2,2021-03-03,84
2,2021-03-04,88
2,2021-03-05,74
2,2021-03-06,71
2,2021-03-07,79
2,2021-03-08,71
2,2021-03-09,77
2,2021-03-10,86
2,2021-03-11,62
2,2021-03-12,87
2,2021-03-13,77
2,2021-03-14,63
2,2021-03-15,75
2,2021-03-16,73
2,2021-03-17,84
2,2021-03-18,86
2,2021-03-19,95
2,2021-03-20,66
2,2021-03-21,77
2,2021-03-22,79
2,2021-03-23,81
2,2021-03-24,77
2,2021-03-25,77
2,2021-03-26,75
2,2021-03-27,64
2,2021-03-28,87
2,2021-03-29,78
2,2021-03-30,69
2,2021-03-31,71
2,2021-04-01,74
2,2021-04-02,92
2,2021-04-03,67
2,2021-04-04,72
2,2021-04-05,86
2,2021-04-06,71
2,2021-04-07,81
2,2021-04-08,80
2,2021-04-09,73
2,2021-04-10,54
2,2021-04-11,62
2,2021-04-12,79
2,2021-04-13,86
2,2021-04-14,90
2,2021-04-15,71
2,2021-04-16,79
2,2021-04-17,58
2,2021-04-18,73
2,2021-04-19,62
2,2021-04-20,89
2,2021-04-21,91
2,2021-04-22,87
2,2021-04-23,78
2,2021-04-24,76
2,2021-04-25,66
2,2021-04-26,91
2,2021-04-27,79
2,2021-04-28,83
2,2021-04-29,84
2,2021-04-30,73
2,2021-05-01,146
2,2021-05-02,149
2,2021-05-03,131
2,2021-05-04,162
2,2021-05-05,173
2,2021-05-06,175
2,2021-05-07,165
2,2021-05-08,139
2,2021-05-09,151
2,2021-05-10,138
2,2021-05-11,143
2,2021-05-12,145
2,2021-05-13,189
2,2021-05-14,177
2,2021-05-15,162
2,2021-05-16,167
2,2021-05-17,155
2,2021-05-18,152
2,2021-05-19,142
2,2021-05-20,186
2,2021-05-21,157
2,2021-05-22,166
2,2021-05-23,179
2,2021-05-24,168
2,2021-05-25,153
2,2021-05-26,170
2,2021-05-27,138
2,2021-05-28,142
2,2021-05-29,148
2,2021-05-30,147
2,2021-05-31,140
2,2021-06-01,157
2,2021-06-02,152
2,2021-06-03,168
2,2021-06-04,182
2,2021-06-05,137
2,2021-06-06,144
2,2021-06-07,180
2,2021-06-08,163
2,2021-06-09,162
2,2021-06-10,182
2,2021-06-11,158
2,2021-06-12,135
2,2021-06-13,139
2,2021-06-14,146
2,2021-06-15,155
2,2021-06-16,169
2,2021-06-17,139
2,2021-06-18,175
2,2021-06-19,118
2,2021-06-20,115
2,2021-06-21,142
2,2021-06-22,178
2,2021-06-23,161
2,2021-06-24,164
2,2021-06-25,152
2,2021-06-26,162
2,2021-06-27,146
2,2021-06-28,166
2,2021-06-29,154
2,2021-06-30,138
2,2021-07-01,173
2,2021-07-02,155
2,2021-07-03,124
2,2021-07-04,161
2,2021-07-05,178
2,2021-07-06,211
2,2021-07-07,147
2,2021-07-08,185
2,2021-07-09,160
2,2021-07-10,144
2,2021-07-11,164
2,2021-07-12,180
2,2021-07-13,150
2,2021-07-14,191
2,2021-07-15,182
2,2021-07-16,165
2,2021-07-17,131
2,2021-07-18,119
2,2021-07-19,169
2,2021-07-20,165
2,2021-07-21,176
2,2021-07-22,172
2,2021-07-23,160
2,2021-07-24,147
2,2021-07-25,136
2,2021-07-26,153
2,2021-07-27,123
2,2021-07-28,142
2,2021-07-29,152
2,2021-07-30,159
2,2021-07-31,129
2,2021-08-01,73
2,2021-08-02,90
2,2021-08-03,77
2,2021-08-04,87
2,2021-08-05,89
2,2021-08-06,75
2,2021-08-07,67
2,2021-08-08,65
2,2021-08-09,81
2,2021-08-10,72
2,2021-08-11,70
2,2021-08-12,76
2,2021-08-13,75
2,2021-08-14,66
2,2021-08-15,74
2,2021-08-16,75
2,2021-08-17,81
2,2021-08-18,92
2,2021-08-19,88
2,2021-08-20,75
2,2021-08-21,78
2,2021-08-22,67
2,2021-08-23,79
2,2021-08-24,98
2,2021-08-25,70
2,2021-08-26,70
2,2021-08-27,83
2,2021-08-28,82
2,2021-08-29,73
2,2021-08-30,84
2,2021-08-31,79
2,2021-09-01,95
2,2021-09-02,90
2,2021-09-03,78
2,2021-09-04,73
2,2021-09-05,71
2,2021-09-06,81
2,2021-09-07,78
2,2021-09-08,72
2,2021-09-09,91
2,2021-09-10,79
2,2021-09-11,76
2,2021-09-12,63
2,2021-09-13,83
2,2021-09-14,79
2,2021-09-15,84
2,2021-09-16,88
2,2021-09-17,90
2,2021-09-18,78
2,2021-09-19,61
2,2021-09-20,80
2,2021-09-21,89
2,2021-09-22,94
2,2021-09-23,79
2,2021-09-24,68
2,2021-09-25,76
2,2021-09-26,79
2,2021-09-27,71
2,2021-09-28,84
2,2021-09-29,81
2,2021-09-30,63
2,2021-10-01,71
2,2021-10-02,59
2,2021-10-03,73
2,2021-10-04,76
2,2021-10-05,72
2,2021-10-06,68
2,2021-10-07,72
2,2021-10-08,79
2,2021-10-09,86
2,2021-10-10,84
2,2021-10-11,109
2,2021-10-12,106
2,2021-10-13,99
2,2021-10-14,109
2,2021-10-15,83
2,2021-10-16,62
2,2021-10-17,68
2,2021-10-18,78
2,2021-10-19,88
2,2021-10-20,70
2,2021-10-21,74
2,2021-10-22,67
2,2021-10-23,63
2,2021-10-24,64
2,2021-10-25,77
2,2021-10-26,77
2,2021-10-27,77
2,2021-10-28,72
2,2021-10-29,65
2,2021-10-30,61
2,2021-10-31,61
2,2021-11-01,65
2,2021-11-02,71
2,2021-11-03,72
2,2021-11-04,68
2,2021-11-05,87
2,2021-11-06,74
2,2021-11-07,55
2,2021-11-08,63
2,2021-11-09,71
2,2021-11-10,79
2,2021-11-11,67
2,2021-11-12,66
2,2021-11-13,59
2,2021-11-14,63
2,2021-11-15,77
2,2021-11-16,77
2,2021-11-17,72
2,2021-11-18,72
2,2021-11-19,66
2,2021-11-20,61
2,2021-11-21,66
2,2021-11-22,76
2,2021-11-23,78
2,2021-11-24,76
2,2021-11-25,80
2,2021-11-26,73
2,2021-11-27,56
2,2021-11-28,67
2,2021-11-29,82
2,2021-11-30,76
2,2021-12-01,78
2,2021-12-02,76
2,2021-12-03,82
2,2021-12-04,66
2,2021-12-05,66
2,2021-12-06,73
2,2021-12-07,71
2,2021-12-08,78
2,2021-12-09,70
2,2021-12-10,65
2,2021-12-11,68
2,2021-12-12,88
2,2021-12-13,73
2,2021-12-14,81
2,2021-12-15,65
2,2021-12-16,70
2,2021-12-17,79
2,2021-12-18,76
2,2021-12-19,65
2,2021-12-20,71
2,2021-12-21,82
2,2021-12-22,84
2,2021-12-23,74
2,2021-12-24,68
2,2021-12-25,53
2,2021-12-26,71
2,2021-12-27,81
2,2021-12-28,72
2,2021-12-29,90
2,2021-12-30,66
2,2021-12-31,69
2,2022-01-01,63
2,2022-01-02,78
2,2022-01-03,69
2,2022-01-04,81
2,2022-01-05,76
2,2022-01-06,79
2,2022-01-07,92
2,2022-01-08,64
2,2022-01-09,66
2,2022-01-10,79
2,2022-01-11,69
2,2022-01-12,69
2,2022-01-13,66
2,2022-01-14,81
2,2022-01-15,62
2,2022-01-16,66
2,2022-01-17,76
2,2022-01-18,78
2,2022-01-19,71
2,2022-01-20,64
2,2022-01-21,64
2,2022-01-22,54
2,2022-01-23,62
2,2022-01-24,74
2,2022-01-25,89
2,2022-01-26,74
2,2022-01-27,82
2,2022-01-28,71
2,2022-01-29,69
2,2022-01-30,70
2,2022-01-31,73
2,2022-02-01,80
2,2022-02-02,68
2,2022-02-03,81
2,2022-02-04,67
2,2022-02-05,77
2,2022-02-06,68
2,2022-02-07,66
2,2022-02-08,75
2,2022-02-09,72
2,2022-02-10,75
2,2022-02-11,73
2,2022-02-12,70
2,2022-02-13,69
2,2022-02-14,80
2,2022-02-15,79
2,2022-02-16,71
2,2022-02-17,64
2,2022-02-18,88
2,2022-02-19,60
2,2022-02-20,62
2,2022-02-21,81
2,2022-02-22,65
2,2022-02-23,74
2,2022-02-24,82
2,2022-02-25,82
2,2022-02-26,82
2,2022-02-27,70
2,2022-02-28,73
2,2022-03-01,76
2,2022-03-02,82
2,2022-03-03,92
2,2022-03-04,86
2,2022-03-05,68
2,2022-03-06,56
2,2022-03-07,93
2,2022-03-08,79
2,2022-03-09,79
2,2022-03-10,89
2,2022-03-11,77
2,2022-03-12,67
2,2022-03-13,62
2,2022-03-14,95
2,2022-03-15,73
2,2022-03-16,91
2,2022-03-17,72
2,2022-03-18,93
2,2022-03-19,72
2,2022-03-20,65
2,2022-03-21,90
2,2022-03-22,84
2,2022-03-23,75
2,2022-03-24,68
2,2022-03-25,86
2,2022-03-26,72
2,2022-03-27,61
2,2022-03-28,79
2,2022-03-29,75
2,2022-03-30,80
2,2022-03-31,85
2,2022-04-01,90
2,2022-04-02,68
2,2022-04-03,86
2,2022-04-04,84
