medicine_id,date,quantity_used
4,2020-01-01,49
4,2020-01-02,50
4,2020-01-03,46
4,2020-01-04,37
4,2020-01-05,40
4,2020-01-06,48
4,2020-01-07,51
4,2020-01-08,51
4,2020-01-09,43
4,2020-01-10,43
4,2020-01-11,34
4,2020-01-12,40
4,2020-01-13,45
4,2020-01-14,43
4,2020-01-15,50
4,2020-01-16,37
4,2020-01-17,47
4,2020-01-18,37
4,2020-01-19,41
4,2020-01-20,40
4,2020-01-21,42
4,2020-01-22,46
4,2020-01-23,53
4,2020-01-24,41
4,2020-01-25,38
4,2020-01-26,40
4,2020-01-27,37
4,2020-01-28,42
4,2020-01-29,42
4,2020-01-30,43
4,2020-01-31,55
4,2020-02-01,39
4,2020-02-02,37
4,2020-02-03,41
4,2020-02-04,49
4,2020-02-05,51
4,2020-02-06,53
4,2020-02-07,43
4,2020-02-08,45
4,2020-02-09,42
4,2020-02-10,44
4,2020-02-11,52
4,2020-02-12,51
4,2020-02-13,49
4,2020-02-14,37
4,2020-02-15,42
4,2020-02-16,39
4,2020-02-17,42
4,2020-02-18,50
4,2020-02-19,43
4,2020-02-20,37
4,2020-02-21,42
4,2020-02-22,39
4,2020-02-23,39
4,2020-02-24,50
4,2020-02-25,51
4,2020-02-26,42
4,2020-02-27,46
4,2020-02-28,50
4,2020-02-29,45
4,2020-03-01,47
4,2020-03-02,49
4,2020-03-03,52
4,2020-03-04,45
4,2020-03-05,59
4,2020-03-06,42
4,2020-03-07,47
4,2020-03-08,48
4,2020-03-09,44
4,2020-03-10,53
4,2020-03-11,51
4,2020-03-12,53
4,2020-03-13,54
4,2020-03-14,46
4,2020-03-15,44
4,2020-03-16,51
4,2020-03-17,51
4,2020-03-18,41
4,2020-03-19,54
4,2020-03-20,59
4,2020-03-21,43
4,2020-03-22,52
4,2020-03-23,57
4,2020-03-24,52
4,2020-03-25,45
4,2020-03-26,59
4,2020-03-27,47
4,2020-03-28,44
4,2020-03-29,47
4,2020-03-30,49
4,2020-03-31,51
4,2020-04-01,53
4,2020-04-02,62
4,2020-04-03,51
4,2020-04-04,43
4,2020-04-05,48
4,2020-04-06,44
4,2020-04-07,54
4,2020-04-08,56
4,2020-04-09,47
4,2020-04-10,56
4,2020-04-11,48
4,2020-04-12,54
4,2020-04-13,56
4,2020-04-14,61
4,2020-04-15,51
4,2020-04-16,55
