medicine_id,date,quantity_used
5,2020-01-01,35
5,2020-01-02,33
5,2020-01-03,39
5,2020-01-04,31
5,2020-01-05,29
5,2020-01-06,43
5,2020-01-07,40
5,2020-01-08,36
5,2020-01-09,41
5,2020-01-10,37
5,2020-01-11,30
5,2020-01-12,26
5,2020-01-13,45
5,2020-01-14,41
5,2020-01-15,35
5,2020-01-16,33
5,2020-01-17,42
5,2020-01-18,29
5,2020-01-19,26
5,2020-01-20,43
5,2020-01-21,41
5,2020-01-22,36
5,2020-01-23,38
5,2020-01-24,40
5,2020-01-25,32
5,2020-01-26,26
5,2020-01-27,43
5,2020-01-28,43
5,2020-01-29,34
5,2020-01-30,38
5,2020-01-31,43
5,2020-02-01,30
5,2020-02-02,28
5,2020-02-03,43
5,2020-02-04,40
5,2020-02-05,36
5,2020-02-06,36
5,2020-02-07,44
5,2020-02-08,35
5,2020-02-09,29
5,2020-02-10,45
5,2020-02-11,39
5,2020-02-12,38
5,2020-02-13,36
5,2020-02-14,39
5,2020-02-15,30
5,2020-02-16,26
5,2020-02-17,43
5,2020-02-18,39
5,2020-02-19,38
5,2020-02-20,41
5,2020-02-21,43
5,2020-02-22,29
5,2020-02-23,27
5,2020-02-24,46
5,2020-02-25,41
5,2020-02-26,41
5,2020-02-27,42
5,2020-02-28,42
5,2020-02-29,32
5,2020-03-01,28
5,2020-03-02,45
5,2020-03-03,45
5,2020-03-04,39
5,2020-03-05,35
5,2020-03-06,44
5,2020-03-07,35
5,2020-03-08,32
5,2020-03-09,55
5,2020-03-10,42
5,2020-03-11,42
5,2020-03-12,41
5,2020-03-13,43
5,2020-03-14,33
5,2020-03-15,33
5,2020-03-16,52
5,2020-03-17,46
5,2020-03-18,41
5,2020-03-19,41
5,2020-03-20,41
5,2020-03-21,35
5,2020-03-22,30
5,2020-03-23,51
5,2020-03-24,45
5,2020-03-25,41
5,2020-03-26,42
5,2020-03-27,47
5,2020-03-28,34
5,2020-03-29,33
5,2020-03-30,53
5,2020-03-31,51
5,2020-04-01,44
5,2020-04-02,39
5,2020-04-03,46
5,2020-04-04,34
